Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits
11/10/2025,BLOX,HODL,92189K105,VanEck Bitcoin ETF/US,1072188,29.34,31457995.92,15.23%,206503570.0,9100000,364.0
11/10/2025,BLOX,FBTC,315948109,Fidelity Wise Origin Bitcoin Fund,345715,90.44,31266464.6,15.14%,206503570.0,9100000,364.0
11/10/2025,BLOX,ETHA,46438R105,iShares Ethereum Trust ETF,712900,26.19,18670851.0,9.04%,206503570.0,9100000,364.0
11/10/2025,BLOX,IREN,Q4982L109,IREN Ltd,236053,62.38,14724986.14,7.13%,206503570.0,9100000,364.0
11/10/2025,BLOX,HUT,44812J104,HUT 8 CORP,286162,44.59,12759963.58,6.18%,206503570.0,9100000,364.0
11/10/2025,BLOX,GLXY,36317J209,Galaxy Digital Inc,390006,31.56,12308589.36,5.96%,206503570.0,9100000,364.0
11/10/2025,BLOX,HOOD,770700102,Robinhood Markets Inc,93966,130.36,12249407.76,5.93%,206503570.0,9100000,364.0
11/10/2025,BLOX,CIFR,17253J106,Cipher Mining Inc,587482,20.69,12155002.58,5.89%,206503570.0,9100000,364.0
11/10/2025,BLOX,RIOT,767292105,Riot Platforms Inc,645317,17.01,10976842.17,5.32%,206503570.0,9100000,364.0
11/10/2025,BLOX,TSM,874039100,Taiwan Semiconductor Manufacturing Co Ltd,33363,286.5,9558499.5,4.63%,206503570.0,9100000,364.0
11/10/2025,BLOX,NVDA,67066G104,NVIDIA Corp,48547,188.15,9134118.05,4.42%,206503570.0,9100000,364.0
11/10/2025,BLOX,COIN,19260Q107,Coinbase Global Inc,27652,309.14,8548339.28,4.14%,206503570.0,9100000,364.0
11/10/2025,BLOX,FGXXX,31846V336,First American Government Obligations Fund 12/01/2031,4309283,100.0,4309282.97,2.09%,206503570.0,9100000,364.0
11/10/2025,BLOX,BLSH,G16910120,Bullish,89098,45.08,4016537.84,1.95%,206503570.0,9100000,364.0
11/10/2025,BLOX,BULL,G9572D103,Webull Corp,413711,9.64,3988174.04,1.93%,206503570.0,9100000,364.0
11/10/2025,BLOX,MARA,565788106,MARA Holdings Inc,231272,15.87,3670286.64,1.78%,206503570.0,9100000,364.0
11/10/2025,BLOX,Cash&Other,Cash&Other,Cash & Other,3264300,1.0,3264299.57,1.58%,206503570.0,9100000,364.0
11/10/2025,BLOX,BMNR,09175A206,BitMine Immersion Technologies Inc,75361,40.23,3031773.03,1.47%,206503570.0,9100000,364.0
11/10/2025,BLOX,CRCL,172573107,Circle Internet Group Inc,25126,103.14,2591495.64,1.25%,206503570.0,9100000,364.0
11/10/2025,BLOX,MSTR,594972408,Strategy Inc,7495,241.93,1813265.35,0.88%,206503570.0,9100000,364.0
11/10/2025,BLOX,CRWV,21873S108,CoreWeave Inc,17012,104.01,1769418.12,0.86%,206503570.0,9100000,364.0
11/10/2025,BLOX,CIFR  251114P00023000,CIFR  251114P00023000,CIFR US 11/14/25 P23,2562,2.93,750666.0,0.36%,206503570.0,9100000,364.0
11/10/2025,BLOX,IREN  251114P00060000,IREN  251114P00060000,IREN LIM PUT OPT 11/25 60,1912,3.01,575512.0,0.28%,206503570.0,9100000,364.0
11/10/2025,BLOX,HUT   251114P00041500,HUT   251114P00041500,HUT US 11/14/25 P41.5,2541,1.605,407830.5,0.20%,206503570.0,9100000,364.0
11/10/2025,BLOX,CRCL  251114P00113000,CRCL  251114P00113000,CRCL US 11/14/25 P113,239,14.4,344160.0,0.17%,206503570.0,9100000,364.0
11/10/2025,BLOX,CIFR  251114P00019500,CIFR  251114P00019500,CIPHER M PUT OPT 11/25 19.500,3312,0.835,276552.0,0.13%,206503570.0,9100000,364.0
11/10/2025,BLOX,GLXY  251114P00029000,GLXY  251114P00029000,GLXY US 11/14/25 P29,3839,0.7,268730.0,0.13%,206503570.0,9100000,364.0
11/10/2025,BLOX,HOOD  251114P00126000,HOOD  251114P00126000,HOOD US 11/14/25 P126,939,2.95,277005.0,0.13%,206503570.0,9100000,364.0
11/10/2025,BLOX,CRWV  251114P00118000,CRWV  251114P00118000,CRWV US 11/14/25 P118,144,17.0,244800.0,0.12%,206503570.0,9100000,364.0
11/10/2025,BLOX,RIOT  251114P00016000,RIOT  251114P00016000,RIOT US 11/14/25 P16,5931,0.41,243171.0,0.12%,206503570.0,9100000,364.0
11/10/2025,BLOX,COIN  251114P00312500,COIN  251114P00312500,COIN US 11/14/25 P312.5,128,12.675,162240.0,0.08%,206503570.0,9100000,364.0
11/10/2025,BLOX,HUT   251114P00046000,HUT   251114P00046000,HUT US 11/14/25 P46,320,3.725,119200.0,0.06%,206503570.0,9100000,364.0
11/10/2025,BLOX,FBTC  251114C00097000,FBTC  251114C00097000,FBTC US 11/14/25 C97,3142,0.375,117825.02,0.06%,206503570.0,9100000,364.0
11/10/2025,BLOX,TSM   251114P00280000,TSM   251114P00280000,TSM US 11/14/25 P280,333,3.5,116550.0,0.06%,206503570.0,9100000,364.0
11/10/2025,BLOX,IREN  251114P00058000,IREN  251114P00058000,IREN LIM PUT OPT 11/25 58,448,2.215,99232.0,0.05%,206503570.0,9100000,364.0
11/10/2025,BLOX,BMNR  251114P00038000,BMNR  251114P00038000,BMNR US 11/14/25 P38,715,1.42,101530.0,0.05%,206503570.0,9100000,364.0
11/10/2025,BLOX,COIN  251114P00300000,COIN  251114P00300000,COIN US 11/14/25 P300,133,6.9,91770.0,0.04%,206503570.0,9100000,364.0
11/10/2025,BLOX,NVDA  251114P00180000,NVDA  251114P00180000,NVDA US 11/14/25 P180,485,1.9,92150.0,0.04%,206503570.0,9100000,364.0
11/10/2025,BLOX,MARA  251114P00015000,MARA  251114P00015000,MARA US 11/14/25 P15,2312,0.335,77452.0,0.04%,206503570.0,9100000,364.0
11/10/2025,BLOX,ETHA  251114C00030000,ETHA  251114C00030000,ETHA US 11/14/25 C30,6661,0.13,86593.0,0.04%,206503570.0,9100000,364.0
11/10/2025,BLOX,MSTR  251114P00240000,MSTR  251114P00240000,MSTR US 11/14/25 P240,74,8.35,61790.0,0.03%,206503570.0,9100000,364.0
11/10/2025,BLOX,BLSH  251114P00043000,BLSH  251114P00043000,BLSH US 11/14/25 P43,890,0.665,59185.0,0.03%,206503570.0,9100000,364.0
11/10/2025,BLOX,MBTXW 251114C00265000,MBTXW 251114C00265000,MBTXW US 11/14/25 C265,529,0.65,34385.0,0.02%,206503570.0,9100000,364.0
11/10/2025,BLOX,RIOT  251114P00017000,RIOT  251114P00017000,RIOT US 11/14/25 P17,522,0.855,44631.0,0.02%,206503570.0,9100000,364.0
11/10/2025,BLOX,BULL  251114P00009000,BULL  251114P00009000,BULL US 11/14/25 P9,4137,0.12,49644.0,0.02%,206503570.0,9100000,364.0
11/10/2025,BLOX,MBTXW 251114C00270000,MBTXW 251114C00270000,MBTXW US 11/14/25 C270,540,0.5,27000.0,0.01%,206503570.0,9100000,364.0
11/10/2025,BLOX,FBTC  251114C00095000,FBTC  251114C00095000,FIDELITY CLL OPT 11/25 95,315,0.575,18112.5,0.01%,206503570.0,9100000,364.0
11/10/2025,BLOX,CRWV  251114P00109000,CRWV  251114P00109000,CRWV US 11/14/25 P109,26,11.325,29445.0,0.01%,206503570.0,9100000,364.0
11/10/2025,BLOX,BMNR  251114P00039000,BMNR  251114P00039000,BITMINE  PUT OPT 11/25 39,-38,1.72,-6536.0,0.00%,206503570.0,9100000,364.0
11/10/2025,BLOX,GLXY  251114P00027500,GLXY  251114P00027500,GALAXY D PUT OPT 11/25 27.500,61,0.3,1830.0,0.00%,206503570.0,9100000,364.0
11/10/2025,BLOX,MBTXW 251114C00275000,MBTXW 251114C00275000,MBTXW US 11/14/25 C275,82,0.55,4510.0,0.00%,206503570.0,9100000,364.0
11/10/2025,BLOX,CRCL  251114P00101000,CRCL  251114P00101000,CIRCLE I PUT OPT 11/25 101,-12,6.4,-7680.0,0.00%,206503570.0,9100000,364.0
11/10/2025,BLOX,ETHA  251114C00029000,ETHA  251114C00029000,ETHA US 11/14/25 C29,468,0.22,10296.0,0.00%,206503570.0,9100000,364.0
11/10/2025,BLOX,BMNR  251114P00037000,BMNR  251114P00037000,BITMINE  PUT OPT 11/25 37,38,1.125,4275.0,0.00%,206503570.0,9100000,364.0
11/10/2025,BLOX,GLXY  251114P00030000,GLXY  251114P00030000,GLXY US 11/14/25 P30,-61,1.025,-6252.5,0.00%,206503570.0,9100000,364.0
11/10/2025,BLOX,COIN  251114P00292500,COIN  251114P00292500,COIN US 11/14/25 P292.5,15,4.725,7087.5,0.00%,206503570.0,9100000,364.0
11/10/2025,BLOX,CRCL  251114P00095000,CRCL  251114P00095000,CIRCLE I PUT OPT 11/25 95,12,3.825,4590.0,0.00%,206503570.0,9100000,364.0
11/10/2025,BLOX,COIN  251114P00305000,COIN  251114P00305000,COINBASE PUT OPT 11/25 305,-15,9.0,-13500.0,-0.01%,206503570.0,9100000,364.0
11/10/2025,BLOX,MBTXW 251114C00255000,MBTXW 251114C00255000,MBTXW US 11/14/25 C255,-82,1.95,-15990.0,-0.01%,206503570.0,9100000,364.0
11/10/2025,BLOX,ETHA  251114C00027000,ETHA  251114C00027000,ISHARES  CLL OPT 11/25 27,-468,0.705,-32994.0,-0.02%,206503570.0,9100000,364.0
11/10/2025,BLOX,CRWV  251114P00114000,CRWV  251114P00114000,CRWV US 11/14/25 P114,-26,14.475,-37635.0,-0.02%,206503570.0,9100000,364.0
11/10/2025,BLOX,FBTC  251114C00091000,FBTC  251114C00091000,FIDELITY CLL OPT 11/25 91,-315,1.8,-56700.0,-0.03%,206503570.0,9100000,364.0
11/10/2025,BLOX,MSTR  251114P00255000,MSTR  251114P00255000,MSTR US 11/14/25 P255,-74,16.85,-124690.0,-0.06%,206503570.0,9100000,364.0
11/10/2025,BLOX,RIOT  251114P00019500,RIOT  251114P00019500,RIOT US 11/14/25 P19.5,-522,2.655,-138591.0,-0.07%,206503570.0,9100000,364.0
11/10/2025,BLOX,BLSH  251114P00045000,BLSH  251114P00045000,BLSH US 11/14/25 P45,-890,1.84,-163760.0,-0.08%,206503570.0,9100000,364.0
11/10/2025,BLOX,HUT   251114P00049000,HUT   251114P00049000,HUT US 11/14/25 P49,-320,5.9,-188800.0,-0.09%,206503570.0,9100000,364.0
11/10/2025,BLOX,COIN  251114P00315000,COIN  251114P00315000,COIN US 11/14/25 P315,-133,14.225,-189192.5,-0.09%,206503570.0,9100000,364.0
11/10/2025,BLOX,MBTXW 251114C00250000,MBTXW 251114C00250000,MBTXW US 11/14/25 C250,-540,3.625,-195750.0,-0.09%,206503570.0,9100000,364.0
11/10/2025,BLOX,BMNR  251114P00041000,BMNR  251114P00041000,BMNR US 11/14/25 P41,-715,2.795,-199842.5,-0.10%,206503570.0,9100000,364.0
11/10/2025,BLOX,IREN  251114P00064000,IREN  251114P00064000,IREN LIM PUT OPT 11/25 64,-448,4.975,-222880.0,-0.11%,206503570.0,9100000,364.0
11/10/2025,BLOX,BULL  251114P00010000,BULL  251114P00010000,BULL US 11/14/25 P10,-4137,0.6,-248220.0,-0.12%,206503570.0,9100000,364.0
11/10/2025,BLOX,ETHA  251114C00028000,ETHA  251114C00028000,ETHA US 11/14/25 C28,-6661,0.41,-273101.0,-0.13%,206503570.0,9100000,364.0
11/10/2025,BLOX,TSM   251114P00290000,TSM   251114P00290000,TSM US 11/14/25 P290,-333,7.775,-258907.5,-0.13%,206503570.0,9100000,364.0
11/10/2025,BLOX,COIN  251114P00325000,COIN  251114P00325000,COIN US 11/14/25 P325,-128,21.3,-272640.0,-0.13%,206503570.0,9100000,364.0
11/10/2025,BLOX,CRWV  251114P00122000,CRWV  251114P00122000,CRWV US 11/14/25 P122,-144,20.45,-294480.0,-0.14%,206503570.0,9100000,364.0
11/10/2025,BLOX,MBTXW 251114C00245000,MBTXW 251114C00245000,MBTXW US 11/14/25 C245,-529,5.95,-314755.0,-0.15%,206503570.0,9100000,364.0
11/10/2025,BLOX,FBTC  251114C00093000,FBTC  251114C00093000,FBTC US 11/14/25 C93,-3142,1.0,-314200.0,-0.15%,206503570.0,9100000,364.0
11/10/2025,BLOX,NVDA  251114P00192500,NVDA  251114P00192500,NVDA US 11/14/25 P192.5,-485,7.1,-344350.0,-0.17%,206503570.0,9100000,364.0
11/10/2025,BLOX,CRCL  251114P00117000,CRCL  251114P00117000,CRCL US 11/14/25 P117,-239,17.925,-428407.5,-0.21%,206503570.0,9100000,364.0
11/10/2025,BLOX,MARA  251114P00017500,MARA  251114P00017500,MARA US 11/14/25 P17.5,-2312,1.94,-448528.0,-0.22%,206503570.0,9100000,364.0
11/10/2025,BLOX,HOOD  251114P00132000,HOOD  251114P00132000,HOOD US 11/14/25 P132,-939,5.6,-525840.0,-0.25%,206503570.0,9100000,364.0
