Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits
01/27/2026,BLOX,Cash&Other,Cash&Other,Cash & Other,39458127,1.0,39458127.29,15.66%,251920707.5,13525000,541.0
01/27/2026,BLOX,HODL,92189K105,VanEck Bitcoin ETF/US,1512304,24.75,37429524.0,14.86%,251920707.5,13525000,541.0
01/27/2026,BLOX,HUT,44812J104,HUT 8 CORP,403347,56.39,22744737.33,9.03%,251920707.5,13525000,541.0
01/27/2026,BLOX,IREN,Q4982L109,IREN Ltd,332671,52.36,17418653.56,6.91%,251920707.5,13525000,541.0
01/27/2026,BLOX,TSM,874039100,Taiwan Semiconductor Manufacturing Co Ltd,46955,332.71,15622398.05,6.20%,251920707.5,13525000,541.0
01/27/2026,BLOX,RIOT,767292105,Riot Platforms Inc,909772,16.23,14765599.56,5.86%,251920707.5,13525000,541.0
01/27/2026,BLOX,CIFR,17253J106,Cipher Mining Inc,828156,16.49,13656292.44,5.42%,251920707.5,13525000,541.0
01/27/2026,BLOX,NVDA,67066G104,NVIDIA Corp,68344,186.47,12744105.68,5.06%,251920707.5,13525000,541.0
01/27/2026,BLOX,GLXY,36317J209,Galaxy Digital Inc,357830,31.28,11192922.4,4.44%,251920707.5,13525000,541.0
01/27/2026,BLOX,FBTC  260220C00055000,FBTC  260220C00055000,FIDELITY CLL OPT 02/26 55,4875,21.7,10578750.0,4.20%,251920707.5,13525000,541.0
01/27/2026,BLOX,ETHA  260220C00013000,ETHA  260220C00013000,ISHARES  CLL OPT 02/26 13,10049,9.15,9194835.0,3.65%,251920707.5,13525000,541.0
01/27/2026,BLOX,COIN,19260Q107,Coinbase Global Inc,38818,213.48,8286866.64,3.29%,251920707.5,13525000,541.0
01/27/2026,BLOX,FGXXX,31846V336,First American Government Obligations Fund 12/01/2031,7308895,100.0,7308894.99,2.90%,251920707.5,13525000,541.0
01/27/2026,BLOX,HOOD,770700102,Robinhood Markets Inc,60338,107.0,6456166.0,2.56%,251920707.5,13525000,541.0
01/27/2026,BLOX,BULL,G9572D103,Webull Corp,583257,7.7,4491078.9,1.78%,251920707.5,13525000,541.0
01/27/2026,BLOX,BLSH,G16910120,Bullish,125566,35.66,4477683.56,1.78%,251920707.5,13525000,541.0
01/27/2026,BLOX,BITF,09173B107,Bitfarms Ltd/Canada,1645225,2.59,4261132.75,1.69%,251920707.5,13525000,541.0
01/27/2026,BLOX,MARA,565788106,MARA Holdings Inc,325956,9.98,3253040.88,1.29%,251920707.5,13525000,541.0
01/27/2026,BLOX,HOOD  260320C00050000,HOOD  260320C00050000,HOOD US 03/20/26 C50,520,57.75,3003000.0,1.19%,251920707.5,13525000,541.0
01/27/2026,BLOX,BMNR,09175A206,BitMine Immersion Technologies Inc,106193,27.8,2952165.4,1.17%,251920707.5,13525000,541.0
01/27/2026,BLOX,CRCL,172573107,Circle Internet Group Inc,35371,70.9,2507803.9,1.00%,251920707.5,13525000,541.0
01/27/2026,BLOX,CRWV,21873S108,CoreWeave Inc,23893,98.31,2348920.83,0.93%,251920707.5,13525000,541.0
01/27/2026,BLOX,HUT   260220P00056000,HUT   260220P00056000,HUT US 02/20/26 P56,3936,5.45,2145120.0,0.85%,251920707.5,13525000,541.0
01/27/2026,BLOX,MSTR,594972408,Strategy Inc,10444,160.58,1677097.52,0.67%,251920707.5,13525000,541.0
01/27/2026,BLOX,IREN  260130P00056000,IREN  260130P00056000,IREN US 01/30/26 P56,3314,4.9,1623860.0,0.64%,251920707.5,13525000,541.0
01/27/2026,BLOX,IREN  260220P00050000,IREN  260220P00050000,IREN US 02/20/26 P50,3246,4.9,1590540.0,0.63%,251920707.5,13525000,541.0
01/27/2026,BLOX,RIOT  260220P00017000,RIOT  260220P00017000,RIOT US 02/20/26 P17,8879,1.705,1513869.5,0.60%,251920707.5,13525000,541.0
01/27/2026,BLOX,CIFR  260220P00016500,CIFR  260220P00016500,CIFR US 02/20/26 P16.5,8082,1.695,1369899.0,0.54%,251920707.5,13525000,541.0
01/27/2026,BLOX,HUT   260130P00057000,HUT   260130P00057000,HUT US 01/30/26 P57,4033,2.76,1113108.0,0.44%,251920707.5,13525000,541.0
01/27/2026,BLOX,GLXY  260220P00031000,GLXY  260220P00031000,GLXY US 02/20/26 P31,3492,2.845,993474.0,0.39%,251920707.5,13525000,541.0
01/27/2026,BLOX,RIOT  260130P00017000,RIOT  260130P00017000,RIOT US 01/30/26 P17,9097,1.07,973379.0,0.39%,251920707.5,13525000,541.0
01/27/2026,BLOX,COIN  260220P00225000,COIN  260220P00225000,COIN US 02/20/26 P225,378,19.2,725760.0,0.29%,251920707.5,13525000,541.0
01/27/2026,BLOX,HOOD  260220P00106000,HOOD  260220P00106000,HOOD US 02/20/26 P106,1108,6.35,703580.0,0.28%,251920707.5,13525000,541.0
01/27/2026,BLOX,BLSH  260220P00038000,BLSH  260220P00038000,BLSH US 02/20/26 P38,1225,4.25,520625.0,0.21%,251920707.5,13525000,541.0
01/27/2026,BLOX,GLXY  260130P00030500,GLXY  260130P00030500,GLXY US 01/30/26 P30.5,3558,0.985,350463.0,0.14%,251920707.5,13525000,541.0
01/27/2026,BLOX,MARA  260220P00010000,MARA  260220P00010000,MARA US 02/20/26 P10,3181,0.865,275156.5,0.11%,251920707.5,13525000,541.0
01/27/2026,BLOX,CIFR  260130P00016000,CIFR  260130P00016000,CIFR US 01/30/26 P16,4128,0.625,258000.0,0.10%,251920707.5,13525000,541.0
01/27/2026,BLOX,COIN  260130P00215000,COIN  260130P00215000,COIN US 01/30/26 P215,380,5.65,214700.0,0.09%,251920707.5,13525000,541.0
