Ticker,Name,Identifier,Weight,Shares,Market Value
ALAB,Astera Labs Inc,04626A103,4.62%,"5,909","$1,075,438"
APLD,Applied Digital Corp,038169207,5.34%,"33,209","$1,242,016"
ASTS,AST SpaceMobile Inc,00217D100,5.45%,"10,951","$1,267,797"
BE,Bloom Energy Corp,093712107,5.67%,"8,833","$1,320,533"
BMNR,BitMine Immersion Technologies Inc,09175A206,5.15%,"38,424","$1,197,291"
CIEN,Ciena Corp,171779309,3.97%,"3,791","$922,805"
CRDO,Credo Technology Group Holding Ltd,G25457105,4.85%,"7,476","$1,128,651"
CRWV,CoreWeave Inc,21873S108,4.92%,"11,308","$1,144,708"
FGXXX,First American Government Obligations Fund 12/01/2031,31846V336,0.28%,"65,961","$65,961"
HIMS,Hims & Hers Health Inc,433000106,4.14%,"30,720","$963,993"
IONQ,IonQ Inc,46222L108,4.70%,"21,543","$1,094,384"
IREN,IREN Ltd,Q4982L109,5.20%,"20,916","$1,209,363"
LITE,Lumentum Holdings Inc,55024U109,5.11%,"3,668","$1,189,349"
NBIS,Nebius Group NV,N97284108,4.75%,"10,174","$1,106,219"
OKLO,Oklo Inc,02156V109,5.20%,"12,755","$1,211,087"
ONDS,Ondas Holdings Inc,68236H204,6.11%,"116,863","$1,421,054"
QBTS,D-Wave Quantum Inc,26740W109,5.17%,"41,767","$1,204,142"
RGTI,Rigetti Computing Inc,76655K103,5.26%,"47,742","$1,223,150"
RKLB,Rocket Lab Corp,773121108,4.90%,"11,847","$1,140,866"
SNDK,Sandisk Corp/DE,80004C200,5.39%,"3,030","$1,253,268"
WDC,Western Digital Corp,958102105,4.03%,"4,230","$936,987"
Cash&Other,,Cash&Other,-0.22%,,"$-51,265"
