Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits
11/04/2025,EGGQ,APP,03831W108,AppLovin Corp,10487,632.14,6629252.18,10.86%,61017960.0,1200000,48.0
11/04/2025,EGGQ,AVGO,11135F101,Broadcom Inc,15337,362.55,5560429.35,9.11%,61017960.0,1200000,48.0
11/04/2025,EGGQ,NVDA,67066G104,NVIDIA Corp,26068,206.88,5392947.84,8.84%,61017960.0,1200000,48.0
11/04/2025,EGGQ,PLTR,69608A108,Palantir Technologies Inc,25970,207.18,5380464.6,8.82%,61017960.0,1200000,48.0
11/04/2025,EGGQ,AMD,007903107,Advanced Micro Devices Inc,15523,259.65,4030546.95,6.61%,61017960.0,1200000,48.0
11/04/2025,EGGQ,VST,92840M102,Vistra Corp,19085,193.04,3684168.4,6.04%,61017960.0,1200000,48.0
11/04/2025,EGGQ,TSLA,88160R101,Tesla Inc,6812,468.37,3190536.44,5.23%,61017960.0,1200000,48.0
11/04/2025,EGGQ,MU,595112103,Micron Technology Inc,12105,234.7,2841043.5,4.66%,61017960.0,1200000,48.0
11/04/2025,EGGQ,MRVL,573874104,MARVELL TECHNOLOGY INC,29625,90.37,2677211.25,4.39%,61017960.0,1200000,48.0
11/04/2025,EGGQ,TTWO,874054109,Take-Two Interactive Software Inc,9254,255.65,2365785.1,3.88%,61017960.0,1200000,48.0
11/04/2025,EGGQ,NFLX,64110L106,Netflix Inc,2052,1100.09,2257384.68,3.70%,61017960.0,1200000,48.0
11/04/2025,EGGQ,DASH,25809K105,DoorDash Inc,9197,242.05,2226133.85,3.65%,61017960.0,1200000,48.0
11/04/2025,EGGQ,ORCL,68389X105,Oracle Corp,8507,257.85,2193529.95,3.59%,61017960.0,1200000,48.0
11/04/2025,EGGQ,META,30303M102,Meta Platforms Inc,3365,637.71,2145894.15,3.52%,61017960.0,1200000,48.0
11/04/2025,EGGQ,MSTR,594972408,Strategy Inc,7464,264.67,1975496.88,3.24%,61017960.0,1200000,48.0
