Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits
11/04/2025,EGGS,AMD,007903107,Advanced Micro Devices Inc,13319,259.65,3458278.35,8.07%,42873870.0,975000,39.0
11/04/2025,EGGS,PLTR,69608A108,Palantir Technologies Inc,16616,207.18,3442502.88,8.03%,42873870.0,975000,39.0
11/04/2025,EGGS,APP,03831W108,AppLovin Corp,5443,632.14,3440738.02,8.03%,42873870.0,975000,39.0
11/04/2025,EGGS,HOOD,770700102,Robinhood Markets Inc,23246,147.08,3419021.68,7.97%,42873870.0,975000,39.0
11/04/2025,EGGS,AVGO,11135F101,Broadcom Inc,9173,362.55,3325671.15,7.76%,42873870.0,975000,39.0
11/04/2025,EGGS,NVDA,67066G104,NVIDIA Corp,16032,206.88,3316700.16,7.74%,42873870.0,975000,39.0
11/04/2025,EGGS,Cash&Other,Cash&Other,Cash & Other,2652067,1.0,2652067.03,6.19%,42873870.0,975000,39.0
11/04/2025,EGGS,TSLA,88160R101,Tesla Inc,4360,468.37,2042093.2,4.76%,42873870.0,975000,39.0
11/04/2025,EGGS,VST,92840M102,Vistra Corp,10487,193.04,2024410.48,4.72%,42873870.0,975000,39.0
11/04/2025,EGGS,XYZ,852234103,Block Inc,27200,74.3,2020960.0,4.71%,42873870.0,975000,39.0
11/04/2025,EGGS,META,30303M102,Meta Platforms Inc,3165,637.71,2018352.15,4.71%,42873870.0,975000,39.0
11/04/2025,EGGS,SMCI,86800U302,Super Micro Computer Inc,39452,50.75,2002189.0,4.67%,42873870.0,975000,39.0
11/04/2025,EGGS,NFLX,64110L106,Netflix Inc,1518,1100.09,1669936.62,3.89%,42873870.0,975000,39.0
11/04/2025,EGGS,ORCL,68389X105,Oracle Corp,6436,257.85,1659522.6,3.87%,42873870.0,975000,39.0
11/04/2025,EGGS,MSTR,594972408,Strategy Inc,6185,264.67,1636983.95,3.82%,42873870.0,975000,39.0
11/04/2025,EGGS,MCK,58155Q103,McKesson Corp,637,820.29,522524.73,1.22%,42873870.0,975000,39.0
11/04/2025,EGGS,MSFT,594918104,Microsoft Corp,1007,517.03,520649.21,1.21%,42873870.0,975000,39.0
11/04/2025,EGGS,AMZN,023135106,Amazon.com Inc,2037,254.0,517398.0,1.21%,42873870.0,975000,39.0
11/04/2025,EGGS,GOOGL,02079K305,Alphabet Inc,1834,283.72,520342.48,1.21%,42873870.0,975000,39.0
11/04/2025,EGGS,LLY,532457108,Eli Lilly & Co,578,896.53,518194.34,1.21%,42873870.0,975000,39.0
11/04/2025,EGGS,WELL,95040Q104,Welltower Inc,2849,182.32,519429.68,1.21%,42873870.0,975000,39.0
11/04/2025,EGGS,AAPL,037833100,Apple Inc,1556,269.05,418641.8,0.98%,42873870.0,975000,39.0
11/04/2025,EGGS,COST,22160K105,Costco Wholesale Corp,449,928.04,416689.96,0.97%,42873870.0,975000,39.0
11/04/2025,EGGS,WMT,931142103,Walmart Inc,4088,101.59,415299.92,0.97%,42873870.0,975000,39.0
11/04/2025,EGGS,APP   251128P00620000,APP   251128P00620000,APP US 11/28/25 P620,54,46.5,251100.0,0.59%,42873870.0,975000,39.0
11/04/2025,EGGS,HOOD  251128P00144000,HOOD  251128P00144000,ROBINHOO PUT OPT 11/25 144,232,9.575,222140.0,0.52%,42873870.0,975000,39.0
