Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits
11/04/2025,EGGY,APP,03831W108,AppLovin Corp,11098,632.14,7015489.72,8.74%,80248002.5,1975000,79.0
11/04/2025,EGGY,AVGO,11135F101,Broadcom Inc,18992,362.55,6885549.6,8.58%,80248002.5,1975000,79.0
11/04/2025,EGGY,PLTR,69608A108,Palantir Technologies Inc,31090,207.18,6441226.2,8.03%,80248002.5,1975000,79.0
11/04/2025,EGGY,NVDA,67066G104,NVIDIA Corp,30463,206.88,6302185.44,7.85%,80248002.5,1975000,79.0
11/04/2025,EGGY,HOOD,770700102,Robinhood Markets Inc,42734,147.08,6285316.72,7.83%,80248002.5,1975000,79.0
11/04/2025,EGGY,VST,92840M102,Vistra Corp,26290,193.04,5075021.6,6.32%,80248002.5,1975000,79.0
11/04/2025,EGGY,AMD,007903107,Advanced Micro Devices Inc,16269,259.65,4224245.85,5.26%,80248002.5,1975000,79.0
11/04/2025,EGGY,MU,595112103,Micron Technology Inc,17893,234.7,4199487.1,5.23%,80248002.5,1975000,79.0
11/04/2025,EGGY,TSLA,88160R101,Tesla Inc,8233,468.37,3856090.21,4.81%,80248002.5,1975000,79.0
11/04/2025,EGGY,TTWO,874054109,Take-Two Interactive Software Inc,13605,255.65,3478118.25,4.33%,80248002.5,1975000,79.0
11/04/2025,EGGY,SMCI,86800U302,Super Micro Computer Inc,65562,50.75,3327271.5,4.15%,80248002.5,1975000,79.0
11/04/2025,EGGY,MSTR,594972408,Strategy Inc,12496,264.67,3307316.32,4.12%,80248002.5,1975000,79.0
11/04/2025,EGGY,ORCL,68389X105,Oracle Corp,11025,257.85,2842796.25,3.54%,80248002.5,1975000,79.0
11/04/2025,EGGY,LLY,532457108,Eli Lilly & Co,2833,896.53,2539869.49,3.17%,80248002.5,1975000,79.0
11/04/2025,EGGY,GOOGL,02079K305,Alphabet Inc,8671,283.72,2460136.12,3.07%,80248002.5,1975000,79.0
11/04/2025,EGGY,XYZ,852234103,Block Inc,31860,74.3,2367198.0,2.95%,80248002.5,1975000,79.0
11/04/2025,EGGY,NFLX,64110L106,Netflix Inc,2016,1100.09,2217781.44,2.76%,80248002.5,1975000,79.0
11/04/2025,EGGY,META,30303M102,Meta Platforms Inc,3057,637.71,1949479.47,2.43%,80248002.5,1975000,79.0
11/04/2025,EGGY,AMZN,023135106,Amazon.com Inc,7307,254.0,1855978.0,2.31%,80248002.5,1975000,79.0
11/04/2025,EGGY,MSFT,594918104,Microsoft Corp,3092,517.03,1598656.76,1.99%,80248002.5,1975000,79.0
11/04/2025,EGGY,AAPL,037833100,Apple Inc,4013,269.05,1079697.65,1.35%,80248002.5,1975000,79.0
11/04/2025,EGGY,Cash&Other,Cash&Other,Cash & Other,410814,1.0,410814.22,0.51%,80248002.5,1975000,79.0
11/04/2025,EGGY,AMD   251121C00270000,AMD   251121C00270000,AMD US 11/21/25 C270,247,12.625,311837.5,0.39%,80248002.5,1975000,79.0
11/04/2025,EGGY,PLTR  251121C00200000,PLTR  251121C00200000,PLTR US 11/21/25 C200,170,18.05,306850.0,0.38%,80248002.5,1975000,79.0
11/04/2025,EGGY,META  251219C00680000,META  251219C00680000,META PLA CLL OPT 12/25 680,86,17.825,153295.0,0.19%,80248002.5,1975000,79.0
11/04/2025,EGGY,VST   251121C00200000,VST   251121C00200000,VST US 11/21/25 C200,164,9.05,148420.0,0.18%,80248002.5,1975000,79.0
11/04/2025,EGGY,HOOD  251121C00155000,HOOD  251121C00155000,HOOD US 11/21/25 C155,203,7.0,142100.0,0.18%,80248002.5,1975000,79.0
11/04/2025,EGGY,APP   251121C00675000,APP   251121C00675000,APP US 11/21/25 C675,38,34.5,131100.0,0.16%,80248002.5,1975000,79.0
11/04/2025,EGGY,SMCI  251114P00052000,SMCI  251114P00052000,SMCI US 11/14/25 P52,250,4.3,107500.0,0.13%,80248002.5,1975000,79.0
11/04/2025,EGGY,XYZ   251114P00079000,XYZ   251114P00079000,XYZ US 11/14/25 P79,120,6.975,83700.0,0.10%,80248002.5,1975000,79.0
11/04/2025,EGGY,AVGO  251121C00395000,AVGO  251121C00395000,AVGO US 11/21/25 C395,136,4.6,62560.0,0.08%,80248002.5,1975000,79.0
11/04/2025,EGGY,SMCI  251107C00058000,SMCI  251107C00058000,SMCI US 11/07/25 C58,655,0.815,53382.5,0.07%,80248002.5,1975000,79.0
11/04/2025,EGGY,TSLA  251107C00485000,TSLA  251107C00485000,TSLA US 11/07/25 C485,82,6.6,54120.0,0.07%,80248002.5,1975000,79.0
11/04/2025,EGGY,XYZ   251107C00084000,XYZ   251107C00084000,XYZ US 11/07/25 C84,318,0.97,30846.0,0.04%,80248002.5,1975000,79.0
11/04/2025,EGGY,MSTR  251107C00295000,MSTR  251107C00295000,MSTR US 11/07/25 C295,124,0.54,6696.0,0.01%,80248002.5,1975000,79.0
11/04/2025,EGGY,AMZN  251107C00270000,AMZN  251107C00270000,AMAZON C CLL OPT 11/25 270,-71,0.26,-1846.0,0.00%,80248002.5,1975000,79.0
11/04/2025,EGGY,GOOGL 251107C00290000,GOOGL 251107C00290000,GOOGL US 11/07/25 C290,-84,1.72,-14448.0,-0.02%,80248002.5,1975000,79.0
11/04/2025,EGGY,XYZ   251121C00087000,XYZ   251121C00087000,XYZ US 11/21/25 C87,-120,1.305,-15660.0,-0.02%,80248002.5,1975000,79.0
11/04/2025,EGGY,MSTR  251107C00280000,MSTR  251107C00280000,MSTR US 11/07/25 C280,-124,2.185,-27094.0,-0.03%,80248002.5,1975000,79.0
11/04/2025,EGGY,AVGO  251107C00385000,AVGO  251107C00385000,BROADCOM CLL OPT 11/25 385,-185,1.37,-25345.0,-0.03%,80248002.5,1975000,79.0
11/04/2025,EGGY,TSLA  251107C00480000,TSLA  251107C00480000,TESLA  I CLL OPT 11/25 480,-27,8.175,-22072.5,-0.03%,80248002.5,1975000,79.0
11/04/2025,EGGY,NVDA  251107C00215000,NVDA  251107C00215000,NVDA US 11/07/25 C215,-296,1.125,-33300.0,-0.04%,80248002.5,1975000,79.0
11/04/2025,EGGY,LLY   251107C00905000,LLY   251107C00905000,ELI LILL CLL OPT 11/25 905,-27,13.525,-36517.5,-0.05%,80248002.5,1975000,79.0
11/04/2025,EGGY,SMCI  251121C00058000,SMCI  251121C00058000,SMCI US 11/21/25 C58,-250,1.83,-45750.0,-0.06%,80248002.5,1975000,79.0
11/04/2025,EGGY,APP   251121C00740000,APP   251121C00740000,APP US 11/21/25 C740,-38,16.1,-61180.0,-0.08%,80248002.5,1975000,79.0
11/04/2025,EGGY,XYZ   251107C00079000,XYZ   251107C00079000,XYZ US 11/07/25 C79,-318,2.11,-67098.0,-0.08%,80248002.5,1975000,79.0
11/04/2025,EGGY,AMD   251121C00290000,AMD   251121C00290000,AMD US 11/21/25 C290,-125,6.725,-84062.5,-0.10%,80248002.5,1975000,79.0
11/04/2025,EGGY,HOOD  251121C00165000,HOOD  251121C00165000,HOOD US 11/21/25 C165,-203,4.125,-83737.5,-0.10%,80248002.5,1975000,79.0
11/04/2025,EGGY,SMCI  251107C00055000,SMCI  251107C00055000,SMCI US 11/07/25 C55,-655,1.455,-95302.5,-0.12%,80248002.5,1975000,79.0
11/04/2025,EGGY,VST   251121C00210000,VST   251121C00210000,VST US 11/21/25 C210,-164,5.8,-95120.0,-0.12%,80248002.5,1975000,79.0
11/04/2025,EGGY,TSLA  251107C00460000,TSLA  251107C00460000,TSLA US 11/07/25 C460,-82,17.75,-145550.0,-0.18%,80248002.5,1975000,79.0
11/04/2025,EGGY,PLTR  251121C00215000,PLTR  251121C00215000,PLTR US 11/21/25 C215,-170,11.0,-187000.0,-0.23%,80248002.5,1975000,79.0
