Date,Account,Ticker,CUSIP,Name,Share Quantity,Price,Market Value,Weight,NetAssets,SharesOutstanding,CreationUnits,ETF Ticker
2026-02-07,BLOX,Cash&Other,Cash&Other,Cash & Other,68282213,1.0,68282212.73,33.56,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,FBTC,315948109,Fidelity Wise Origin Bitcoin Fund,539039,55.45,29889712.55,14.69,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,HODL,92189K105,VanEck Bitcoin ETF/US,1649195,18.01,29702001.95,14.6,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,HUT,44812J104,HUT 8 CORP,439852,44.48,19564616.96,9.61,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,TSM,874039100,Taiwan Semiconductor Manufacturing Co Ltd,51106,330.73,16902287.38,8.31,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,ETHA,46438R105,iShares Ethereum Trust ETF,1113404,14.06,15654460.24,7.69,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,IREN,Q4982L109,IREN Ltd,362757,39.79,14434101.03,7.09,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,NVDA,67066G104,NVIDIA Corp,74446,171.88,12795778.48,6.29,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,RIOT,767292105,Riot Platforms Inc,992141,12.06,11965220.46,5.88,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,CIFR,17253J106,Cipher Mining Inc,903126,12.7,11469700.2,5.64,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,GLXY,36317J209,Galaxy Digital Inc,393081,16.84,6619484.04,3.25,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,COIN,19260Q107,Coinbase Global Inc,42697,146.12,6238885.64,3.07,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,HUT   260206P00056000,HUT   260206P00056000,HUT US 02/06/26 P56,4346,11.6,5041360.0,2.48,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,IREN  260206P00053000,IREN  260206P00053000,IREN US 02/06/26 P53,3572,13.6,4857920.0,2.39,203480675.0,14750000,590.0,BLOX
