date,ETF Ticker,Name,Ticker,CUSIP,Share Quantity,Market Value,Weight,Date
01/02/2026,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,662061.0,106571959.17,9.65,2026-02-23
01/02/2026,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,276957.0,62631055.98,5.67,2026-02-23
01/02/2026,ARKF,ARK BITCOIN ETF HOLDCO (ARKF),OTHER,MM005473T,2082290.0,60461580.67,5.47,2026-02-23
01/02/2026,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,492638.0,55717357.8,5.05,2026-02-23
01/02/2026,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,281162.0,49976545.5,4.53,2026-02-23
01/02/2026,ARKF,TOAST INC-CLASS A,TOST,888787108,1351034.0,47975217.34,4.34,2026-02-23
01/02/2026,ARKF,BLOCK INC,XYZ,852234103,652416.0,42465757.44,3.85,2026-02-23
01/02/2026,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,1488338.0,38964688.84,3.53,2026-02-23
01/02/2026,ARKF,ROKU INC,ROKU,77543R102,350640.0,38040933.6,3.44,2026-02-23
01/02/2026,ARKF,CIRCLE INTERNET GROUP INC,CRCL,172573107,467606.0,37081155.8,3.36,2026-02-23
01/02/2026,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,389598.0,31569125.94,2.86,2026-02-23
01/02/2026,ARKF,MERCADOLIBRE INC,MELI,58733R102,15628.0,31478855.28,2.85,2026-02-23
01/02/2026,ARKF,ADYEN NV,ADYEN,BZ1HM42,17603.0,28444654.02,2.58,2026-02-23
01/02/2026,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,41109.0,27135639.81,2.46,2026-02-23
01/02/2026,ARKF,ADVANCED MICRO DEVICES,AMD,007903107,121685.0,26060059.6,2.36,2026-02-23
01/02/2026,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,756511.0,26069369.06,2.36,2026-02-23
01/02/2026,ARKF,AMAZON.COM INC,AMZN,023135106,110561.0,25519690.02,2.31,2026-02-23
01/02/2026,ARKF,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,938829.0,25489207.35,2.31,2026-02-23
01/02/2026,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,876967.0,22704675.63,2.06,2026-02-23
01/02/2026,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,1327232.0,22217863.68,2.01,2026-02-23
01/02/2026,ARKF,KLARNA GROUP PLC,KLAR,G5279N105,736657.0,21296753.87,1.93,2026-02-23
01/02/2026,ARKF,BULLISH,BLSH,G16910120,508905.0,19272232.35,1.75,2026-02-23
01/02/2026,ARKF,SEA LTD-ADR,SE,81141R100,148096.0,18892606.72,1.71,2026-02-23
01/02/2026,ARKF,AIRBNB INC-CLASS A,ABNB,009066101,136311.0,18500128.92,1.68,2026-02-23
01/02/2026,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,106024.0,17410201.04,1.58,2026-02-23
01/02/2026,ARKF,DOORDASH INC - A,DASH,25809K105,76196.0,17256870.08,1.56,2026-02-23
01/02/2026,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,29020.0,16852204.2,1.53,2026-02-23
01/02/2026,ARKF,ZILLOW GROUP INC - C,Z,98954M200,246266.0,16800266.52,1.52,2026-02-23
01/02/2026,ARKF,NVIDIA CORP,NVDA,67066G104,89295.0,16653517.5,1.51,2026-02-23
01/02/2026,ARKF,DISCOVERY LTD,DSY,6177878,1125052.0,15461312.45,1.4,2026-02-23
01/02/2026,ARKF,GLOBAL-E ONLINE LTD,GLBE,M5216V106,364781.0,14339541.11,1.3,2026-02-23
01/02/2026,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,28997.0,13592633.72,1.23,2026-02-23
01/02/2026,ARKF,LY CORP,4689,6084848,5074096.0,13514510.03,1.22,2026-02-23
01/02/2026,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,85622.0,12550472.76,1.14,2026-02-23
01/02/2026,ARKF,ETORO GROUP LTD-A,ETOR,G32089107,333445.0,11713922.85,1.06,2026-02-23
01/02/2026,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,133688.0,10445043.44,0.95,2026-02-23
01/02/2026,ARKF,INTUIT INC,INTU,461202103,14562.0,9646160.04,0.87,2026-02-23
01/02/2026,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,151471.0,8842876.98,0.8,2026-02-23
