date,ETF Ticker,Name,Ticker,CUSIP,Share Quantity,Market Value,Weight,Date
02/23/2026,ARKG,TEMPUS AI INC,TEM,88023B103,1900387.0,110925589.19,9.23,2026-02-23
02/23/2026,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,2065413.0,110416978.98,9.19,2026-02-23
02/23/2026,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,2094661.0,101779577.99,8.47,2026-02-23
02/23/2026,ARKG,PERSONALIS INC,PSNL,71535D106,8309126.0,68799563.28,5.72,2026-02-23
02/23/2026,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,3280502.0,61935877.76,5.15,2026-02-23
02/23/2026,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,2244950.0,61938170.5,5.15,2026-02-23
02/23/2026,ARKG,GUARDANT HEALTH INC,GH,40131M109,552151.0,56926768.1,4.74,2026-02-23
02/23/2026,ARKG,NATERA INC,NTRA,632307104,235938.0,50047168.56,4.16,2026-02-23
02/23/2026,ARKG,ILLUMINA INC,ILMN,452327109,396545.0,46661450.15,3.88,2026-02-23
02/23/2026,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,12670632.0,43333561.44,3.61,2026-02-23
02/23/2026,ARKG,CAREDX INC,CDNA,14167L103,2121682.0,39887621.6,3.32,2026-02-23
02/23/2026,ARKG,VERACYTE INC,VCYT,92337F107,1094783.0,39007118.29,3.25,2026-02-23
02/23/2026,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,3003176.0,37960144.64,3.16,2026-02-23
02/23/2026,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,401194.0,33359281.1,2.78,2026-02-23
02/23/2026,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,2144097.0,32590274.4,2.71,2026-02-23
02/23/2026,ARKG,ABSCI CORP,ABSI,00091E109,11991082.0,31776367.3,2.64,2026-02-23
02/23/2026,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,1588306.0,25063468.68,2.09,2026-02-23
02/23/2026,ARKG,SCHRODINGER INC,SDGR,80810D103,2113447.0,24368043.91,2.03,2026-02-23
02/23/2026,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,2913599.0,23454471.95,1.95,2026-02-23
02/23/2026,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,270888.0,22229069.28,1.85,2026-02-23
02/23/2026,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,2607550.0,19999908.5,1.66,2026-02-23
02/23/2026,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,6214308.0,18518637.84,1.54,2026-02-23
02/23/2026,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,11113819.0,17893248.59,1.49,2026-02-23
02/23/2026,ARKG,AMGEN INC,AMGN,031162100,44949.0,16844637.75,1.4,2026-02-23
02/23/2026,ARKG,PRIME MEDICINE INC,PRME,74168J101,4973512.0,16263384.24,1.35,2026-02-23
02/23/2026,ARKG,CERUS CORP,CERS,157085101,6675255.0,16087364.55,1.34,2026-02-23
02/23/2026,ARKG,INCYTE CORP,INCY,45337C102,135668.0,13745881.76,1.14,2026-02-23
02/23/2026,ARKG,908 DEVICES INC,MASS,65443P102,1971440.0,13149504.8,1.09,2026-02-23
02/23/2026,ARKG,ATAIBECKLEY INC,ATAI UQ,04650F101,3291775.0,12772087.0,1.06,2026-02-23
02/23/2026,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,25886.0,12345033.4,1.03,2026-02-23
02/23/2026,ARKG,CARIS LIFE SCIENCES INC,CAI,142152107,406362.0,7936249.86,0.66,2026-02-23
02/23/2026,ARKG,QUANTUM-SI INC,QSI,74765K105,6995359.0,6581233.75,0.55,2026-02-23
02/23/2026,ARKG,STANDARD BIOTOOLS INC,LAB,34385P108,3056271.0,3453586.23,0.29,2026-02-23
02/23/2026,ARKG,GOLDMAN FS TRSY OBLIG INST 468,OTHER,X9USDGSFT,2632754.0,2632753.82,0.22,2026-02-23
02/23/2026,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,6187.0,1115577.97,0.09,2026-02-23
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2026. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission.",ARKG,,OTHER,,0.0,0.0,0.0,2026-02-23
