date,ETF Ticker,Name,Ticker,CUSIP,Share Quantity,Market Value,Weight,Date
02/23/2026,ARKW,TESLA INC,TSLA,88160R101,389389.0,160358177.98,10.15,2026-02-23
02/23/2026,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,558209.0,111725531.35,7.07,2026-02-23
02/23/2026,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),OTHER,MM0051EWE,4346374.0,97706052.88,6.19,2026-02-23
02/23/2026,ARKW,ROKU INC,ROKU,77543R102,944591.0,84125274.46,5.33,2026-02-23
02/23/2026,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,637057.0,80396593.4,5.09,2026-02-23
02/23/2026,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,973456.0,74089736.16,4.69,2026-02-23
02/23/2026,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,344556.0,59039670.6,3.74,2026-02-23
02/23/2026,ARKW,ALPHABET INC-CL C,GOOG,02079K107,185171.0,58310347.9,3.69,2026-02-23
02/23/2026,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,904145.0,56056990.0,3.55,2026-02-23
02/23/2026,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,151391.0,56096421.14,3.55,2026-02-23
02/23/2026,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,562799.0,50229810.75,3.18,2026-02-23
02/23/2026,ARKW,CIRCLE INTERNET GROUP INC,CRCL,172573107,744348.0,46908810.96,2.97,2026-02-23
02/23/2026,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,343004.0,46387860.96,2.94,2026-02-23
02/23/2026,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,63967.0,41940603.22,2.66,2026-02-23
02/23/2026,ARKW,BLOCK INC,XYZ,852234103,722671.0,38460550.62,2.44,2026-02-23
02/23/2026,ARKW,BROADCOM INC,AVGO,11135F101,100984.0,33592327.6,2.13,2026-02-23
02/23/2026,ARKW,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,1642675.0,33067047.75,2.09,2026-02-23
02/23/2026,ARKW,BULLISH,BLSH,G16910120,1035891.0,32910257.07,2.08,2026-02-23
02/23/2026,ARKW,AMAZON.COM INC,AMZN,023135106,153115.0,32170992.65,2.04,2026-02-23
02/23/2026,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,73003.0,28368965.8,1.8,2026-02-23
02/23/2026,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,158791.0,28128237.74,1.78,2026-02-23
02/23/2026,ARKW,NVIDIA CORP,NVDA,67066G104,141016.0,26767657.12,1.69,2026-02-23
02/23/2026,ARKW,BAIDU INC - SPON ADR,BIDU,056752108,178961.0,24313641.46,1.54,2026-02-23
02/23/2026,ARKW,FIGMA INC-CL A,OTHER,316841105,922880.0,24077939.2,1.52,2026-02-23
02/23/2026,ARKW,DATADOG INC - CLASS A,DDOG,23804L103,199741.0,23102044.06,1.46,2026-02-23
02/23/2026,ARKW,PURE STORAGE INC - CLASS A,PSTG,74624M102,293273.0,21681672.89,1.37,2026-02-23
02/23/2026,ARKW,RUBRIK INC-A,RBRK,781154109,369739.0,18560897.8,1.18,2026-02-23
02/23/2026,ARKW,DOORDASH INC - A,DASH,25809K105,104982.0,18507276.78,1.17,2026-02-23
02/23/2026,ARKW,NETFLIX INC,NFLX,64110L106,227795.0,17920632.65,1.13,2026-02-23
02/23/2026,ARKW,TOAST INC-CLASS A,TOST,888787108,642695.0,17397753.65,1.1,2026-02-23
02/23/2026,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,34250.0,16803050.0,1.06,2026-02-23
02/23/2026,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,2657581.0,16237819.91,1.03,2026-02-23
02/23/2026,ARKW,MERCADOLIBRE INC,MELI,58733R102,8033.0,16040856.71,1.02,2026-02-23
02/23/2026,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,99962.0,15439130.9,0.98,2026-02-23
02/23/2026,ARKW,GITLAB INC-CL A,GTLB,37637K108,585467.0,15450474.13,0.98,2026-02-23
02/23/2026,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,558681.0,12464173.11,0.79,2026-02-23
02/23/2026,ARKW,NEXTDOOR HOLDINGS INC,NXDR,65345M108,7009025.0,11705071.75,0.74,2026-02-23
02/23/2026,ARKW,AIRBNB INC-CLASS A,ABNB,009066101,77868.0,9958538.52,0.63,2026-02-23
02/23/2026,ARKW,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,862921.0,6592716.44,0.42,2026-02-23
02/23/2026,ARKW,PAGERDUTY INC,PD,69553P100,552612.0,3630660.84,0.23,2026-02-23
02/23/2026,ARKW,GOLDMAN FS TRSY OBLIG INST 468,OTHER,X9USDGSFT,3363466.0,3363465.5,0.21,2026-02-23
02/23/2026,ARKW,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,444856.0,3016744.25,0.19,2026-02-23
02/23/2026,ARKW,SALESFORCE INC,CRM,79466L302,16501.0,3055325.16,0.19,2026-02-23
02/23/2026,ARKW,BRERA HOLDINGS PLC-CL B,SLMT,G13311116,1848217.0,1996074.36,0.13,2026-02-23
02/23/2026,ARKW,BRERA HOLDINGS PLC WTS,OTHER,BREADUMMY,1395691.0,1060725.16,0.07,2026-02-23
02/23/2026,ARKW,PINTEREST INC- CLASS A,PINS,72352L106,3700.0,65749.0,0.0,2026-02-23
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2026. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission.",ARKW,,OTHER,,0.0,0.0,0.0,2026-02-23
