Date,ETF Ticker,Ticker,CUSIP,Name,Share Quantity,Price,Market Value,Weight,NetAssets,SharesOutstanding,CreationUnits
2026-02-23,BLOX,FBTC,315948109,Fidelity Wise Origin Bitcoin Fund,518841,59.01,30616807.41,14.1,217199395.0,14450000,578.0
2026-02-23,BLOX,HODL,92189K105,VanEck Bitcoin ETF/US,1587381,19.15,30398346.15,14.0,217199395.0,14450000,578.0
2026-02-23,BLOX,HUT,44812J104,HUT 8 CORP,423370,53.82,22785773.4,10.49,217199395.0,14450000,578.0
2026-02-23,BLOX,TSM,874039100,Taiwan Semiconductor Manufacturing Co Ltd,49195,370.54,18228715.3,8.39,217199395.0,14450000,578.0
2026-02-23,BLOX,ETHA,46438R105,iShares Ethereum Trust ETF,1071671,14.89,15957181.19,7.35,217199395.0,14450000,578.0
2026-02-23,BLOX,RIOT,767292105,Riot Platforms Inc,954957,15.68,14973725.76,6.89,217199395.0,14450000,578.0
2026-02-23,BLOX,IREN,Q4982L109,IREN Ltd,349165,39.98,13959616.7,6.43,217199395.0,14450000,578.0
2026-02-23,BLOX,NVDA,67066G104,NVIDIA Corp,71661,189.82,13602691.02,6.26,217199395.0,14450000,578.0
2026-02-23,BLOX,CIFR,17253J106,Cipher Mining Inc,869283,14.65,12734995.95,5.86,217199395.0,14450000,578.0
2026-02-23,BLOX,GLXY,36317J209,Galaxy Digital Inc,375561,21.2,7961893.2,3.67,217199395.0,14450000,578.0
2026-02-23,BLOX,COIN,19260Q107,Coinbase Global Inc,40718,171.35,6977029.3,3.21,217199395.0,14450000,578.0
2026-02-23,BLOX,HOOD,770700102,Robinhood Markets Inc,63317,76.11,4819056.87,2.22,217199395.0,14450000,578.0
2026-02-23,BLOX,BLSH,G16910120,Bullish,131802,31.77,4187349.54,1.93,217199395.0,14450000,578.0
2026-02-23,BLOX,BULL,G9572D103,Webull Corp,612238,5.91,3618326.58,1.67,217199395.0,14450000,578.0
2026-02-23,BLOX,BITF,09173B107,Bitfarms Ltd/Canada,1726985,2.03,3505779.55,1.61,217199395.0,14450000,578.0
2026-02-23,BLOX,MARA,565788106,MARA Holdings Inc,342138,7.97,2726839.86,1.26,217199395.0,14450000,578.0
2026-02-23,BLOX,HOOD  260320C00030000,HOOD  260320C00030000,HOOD US 03/20/26 C30,520,46.4,2412800.0,1.11,217199395.0,14450000,578.0
2026-02-23,BLOX,CRCL,172573107,Circle Internet Group Inc,37114,63.02,2338924.28,1.08,217199395.0,14450000,578.0
2026-02-23,BLOX,BMNR,09175A206,BitMine Immersion Technologies Inc,111462,20.13,2243730.06,1.03,217199395.0,14450000,578.0
2026-02-23,BLOX,CRWV,21873S108,CoreWeave Inc,25075,89.25,2237943.75,1.03,217199395.0,14450000,578.0
2026-02-23,BLOX,IBIT  260227P00037500,IBIT  260227P00037500,ISHARES  PUT OPT 02/26 37.500,25000,0.71,1775000.0,0.82,217199395.0,14450000,578.0
2026-02-23,BLOX,FGXXX,31846V336,First American Government Obligations Fund 12/01/2031,1644022,100.0,1644022.18,0.76,217199395.0,14450000,578.0
2026-02-23,BLOX,MSTR,594972408,Strategy Inc,10955,131.05,1435652.75,0.66,217199395.0,14450000,578.0
2026-02-23,BLOX,HUT   260227P00051000,HUT   260227P00051000,HUT 8 MI PUT OPT 02/26 51,4233,2.77,1172541.0,0.54,217199395.0,14450000,578.0
2026-02-23,BLOX,IREN  260227P00041500,IREN  260227P00041500,IREN LIM PUT OPT 02/26 41.500,3491,3.2,1117120.0,0.51,217199395.0,14450000,578.0
2026-02-23,BLOX,CIFR  260227P00014000,CIFR  260227P00014000,CIPHER M PUT OPT 02/26 14,8692,0.825,717090.0,0.33,217199395.0,14450000,578.0
2026-02-23,BLOX,RIOT  260227P00015500,RIOT  260227P00015500,RIOT PLA PUT OPT 02/26 15.500,9549,0.75,716175.0,0.33,217199395.0,14450000,578.0
2026-02-23,BLOX,MBTXW 260227P00155000,MBTXW 260227P00155000,MBTXW US 02/27/26 P155,1828,2.6,475280.0,0.22,217199395.0,14450000,578.0
2026-02-23,BLOX,FBTC  260227C00061000,FBTC  260227C00061000,FBTC US 02/27/26 C61,5188,0.7,363160.0,0.17,217199395.0,14450000,578.0
2026-02-23,BLOX,HOOD  260227P00075000,HOOD  260227P00075000,ROBINHOO PUT OPT 02/26 75,1153,2.095,241553.5,0.11,217199395.0,14450000,578.0
2026-02-23,BLOX,NVDA  260227P00182500,NVDA  260227P00182500,NVDA US 02/27/26 P182.5,716,3.15,225540.0,0.1,217199395.0,14450000,578.0
2026-02-23,BLOX,CRWV  260227P00086000,CRWV  260227P00086000,COREWEAV PUT OPT 02/26 86,250,6.575,164375.0,0.08,217199395.0,14450000,578.0
2026-02-23,BLOX,GLXY  260227P00020500,GLXY  260227P00020500,GALAXY D PUT OPT 02/26 20.500,1954,0.78,152412.0,0.07,217199395.0,14450000,578.0
2026-02-23,BLOX,TSM   260227P00350000,TSM   260227P00350000,TSM US 02/27/26 P350,491,2.49,122259.0,0.06,217199395.0,14450000,578.0
