Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Share Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,ETF Ticker,Date
NVDA,NVIDIA CORP,Information Technology,Equity,3256517562.58,6.99,"3,256,517,562.58",17155819.0,189.82,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-23
AAPL,APPLE INC,Information Technology,Equity,2827457717.62,6.07,"2,827,457,717.62",10686589.0,264.58,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-23
MSFT,MICROSOFT CORP,Information Technology,Equity,2159512294.44,4.64,"2,159,512,294.44",5436428.0,397.23,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-23
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,1477413257.98,3.17,"1,477,413,257.98",7031618.0,210.11,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-23
GOOGL,ALPHABET INC CLASS A,Communication,Equity,1342103636.66,2.88,"1,342,103,636.66",4260917.0,314.98,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-23
AVGO,BROADCOM INC,Information Technology,Equity,1126128361.25,2.42,"1,126,128,361.25",3385325.0,332.65,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-23
GOOG,ALPHABET INC CLASS C,Communication,Equity,1092520987.8,2.35,"1,092,520,987.80",3469422.0,314.90,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-23
META,META PLATFORMS INC CLASS A,Communication,Equity,1049362848.88,2.25,"1,049,362,848.88",1600468.0,655.66,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-23
TSLA,TESLA INC,Consumer Discretionary,Equity,851769776.92,1.83,"851,769,776.92",2068306.0,411.82,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-23
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,673560421.6,1.45,"673,560,421.60",1351988.0,498.20,United States,NYSE,USD,1.0,USD,-,IWM,2026-02-23
JPM,JPMORGAN CHASE & CO,Financials,Equity,618881410.43,1.33,"618,881,410.43",1991317.0,310.79,United States,NYSE,USD,1.0,USD,-,IWM,2026-02-23
LLY,ELI LILLY,Health Care,Equity,592837591.44,1.27,"592,837,591.44",587247.0,"1,009.52",United States,NYSE,USD,1.0,USD,-,IWM,2026-02-23
XOM,EXXON MOBIL CORP,Energy,Equity,456104951.68,0.98,"456,104,951.68",3096856.0,147.28,United States,NYSE,USD,1.0,USD,-,IWM,2026-02-23
JNJ,JOHNSON & JOHNSON,Health Care,Equity,427748237.67,0.92,"427,748,237.67",1763983.0,242.49,United States,NYSE,USD,1.0,USD,-,IWM,2026-02-23
V,VISA INC CLASS A,Financials,Equity,396027586.85,0.85,"396,027,586.85",1233923.0,320.95,United States,NYSE,USD,1.0,USD,-,IWM,2026-02-23
WMT,WALMART INC,Consumer Staples,Equity,392234050.46,0.84,"392,234,050.46",3189154.0,122.99,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-23
