Ticker,Name,CUSIP,Weight,Market Value,Share Quantity,ETF Ticker,Date
OTHER,FIRST AMERICAN GOVERNMENT OBLI FIRST AM GOV OBLIG X,31846V336,9.59,1584604.4,1584604,REX_ULTI,2026-02-23
OTHER,LUMENTUM HOLDINGS INC,55024U109,5.25,868101.0,1300,REX_ULTI,2026-02-23
OTHER,SANDISK CORP/DE SNDKV,80004C200,5.11,844961.0,1300,REX_ULTI,2026-02-23
OTHER,URANIUM ENERGY CORP,916896103,4.94,815750.0,50200,REX_ULTI,2026-02-23
OTHER,BLOOM ENERGY CORP. CLASS A,093712107,4.91,811525.0,5500,REX_ULTI,2026-02-23
OTHER,APPLIED DIGITAL CORP COMMON STOCK USD 0.001,038169207,4.9,810216.0,27900,REX_ULTI,2026-02-23
OTHER,CORE SCIENTIFIC INC,21874A106,4.89,807910.0,46700,REX_ULTI,2026-02-23
OTHER,ROCKET LAB CORP,773121108,4.89,807804.0,11400,REX_ULTI,2026-02-23
OTHER,TERAWULF INC,88080T104,4.89,807538.0,53800,REX_ULTI,2026-02-23
OTHER,RIOT PLATFORMS INC.,767292105,4.87,804384.0,51300,REX_ULTI,2026-02-23
OTHER,BITMINE IMMERSION TECHNOLOGI COMMON STOCK,09175A206,4.86,803187.0,39900,REX_ULTI,2026-02-23
OTHER,COEUR MINING INC.,192108504,4.86,802938.0,32600,REX_ULTI,2026-02-23
OTHER,INTUITIVE MACHINES INC COMMON STOCK USD.0001,46125A100,4.86,803790.0,45800,REX_ULTI,2026-02-23
OTHER,Nebius Group NV,N97284108,4.86,802944.0,8200,REX_ULTI,2026-02-23
OTHER,SUNRUN INC,86771W105,4.86,803088.0,39600,REX_ULTI,2026-02-23
OTHER,AST SPACEMOBILE INC CLASS A,00217D100,4.85,802000.0,10000,REX_ULTI,2026-02-23
OTHER,LIQUIDIA CORP,53635D202,4.84,799442.0,23800,REX_ULTI,2026-02-23
OTHER,RED CAT HOLDINGS INC,75644T100,4.84,800574.0,64200,REX_ULTI,2026-02-23
OTHER,PLANET LABS PBC,72703X106,4.83,798260.0,33400,REX_ULTI,2026-02-23
OTHER,Ondas Holdings Inc.,68236H204,4.81,795379.0,79300,REX_ULTI,2026-02-23
OTHER,TRADE DESK INC/THE -CLASS A,88339J105,4.8,793160.0,31600,REX_ULTI,2026-02-23
OTHER,LIQUIDIA PUT OPT 02/26 26.500,,0.32,52102.0,239,REX_ULTI,2026-02-23
OTHER,LIQUIDIA CLL OPT 02/26 40.500,,0.29,47322.0,239,REX_ULTI,2026-02-23
OTHER,RED CAT  CLL OPT 02/26 13.500,,0.17,27520.0,640,REX_ULTI,2026-02-23
OTHER,CORE SCI CLL OPT 02/26 19.500,,0.16,25685.0,467,REX_ULTI,2026-02-23
OTHER,APPLIED  CLL OPT 02/26 32,,0.14,22320.0,279,REX_ULTI,2026-02-23
OTHER,ROCKET L CLL OPT 02/26 79,,0.13,20748.0,114,REX_ULTI,2026-02-23
OTHER,SUNRUN I CLL OPT 02/26 23,,0.13,21384.0,396,REX_ULTI,2026-02-23
OTHER,TRADE DE CLL OPT 02/26 29,,0.13,22120.0,316,REX_ULTI,2026-02-23
OTHER,INTUITIV CLL OPT 02/26 20,,0.11,18737.0,457,REX_ULTI,2026-02-23
OTHER,SANDISK  CLL OPT 02/26 705,,0.11,18200.0,13,REX_ULTI,2026-02-23
OTHER,TERAWULF CLL OPT 02/26 17.500,,0.11,18292.0,538,REX_ULTI,2026-02-23
OTHER,AST SPAC CLL OPT 02/26 89,,0.1,16600.0,100,REX_ULTI,2026-02-23
OTHER,BLOOM EN CLL OPT 02/26 165,,0.1,16500.0,55,REX_ULTI,2026-02-23
OTHER,CORE SCI PUT OPT 02/26 14.500,,0.1,15878.0,467,REX_ULTI,2026-02-23
OTHER,RIOT PLA CLL OPT 02/26 17,,0.1,16896.0,512,REX_ULTI,2026-02-23
OTHER,TRADE DE PUT OPT 02/26 21,,0.1,16748.0,316,REX_ULTI,2026-02-23
OTHER,TERAWULF PUT OPT 02/26 12.500,,0.1,16678.0,538,REX_ULTI,2026-02-23
OTHER,BLOOM EN PUT OPT 02/26 129,,0.09,14135.0,55,REX_ULTI,2026-02-23
OTHER,LUMENTUM CLL OPT 02/26 730,,0.09,15522.0,13,REX_ULTI,2026-02-23
OTHER,PLANET L CLL OPT 02/26 26.500,,0.09,15698.0,334,REX_ULTI,2026-02-23
OTHER,URANIUM  CLL OPT 02/26 17.500,,0.09,15030.0,501,REX_ULTI,2026-02-23
OTHER,APPLIED  PUT OPT 02/26 25,,0.08,13113.0,279,REX_ULTI,2026-02-23
OTHER,AST SPAC PUT OPT 02/26 71,,0.08,13000.0,100,REX_ULTI,2026-02-23
OTHER,COEUR MI CLL OPT 02/26 27,,0.08,12426.0,327,REX_ULTI,2026-02-23
OTHER,NEBIUS G CLL OPT 02/26 108,,0.08,12464.0,82,REX_ULTI,2026-02-23
OTHER,NEBIUS G PUT OPT 02/26 88,,0.08,13858.0,82,REX_ULTI,2026-02-23
OTHER,ONDAS IN CLL OPT 02/26 11.500,,0.08,13481.0,793,REX_ULTI,2026-02-23
OTHER,RIOT PLA PUT OPT 02/26 14,,0.08,13824.0,512,REX_ULTI,2026-02-23
OTHER,ROCKET L PUT OPT 02/26 61,,0.08,12996.0,114,REX_ULTI,2026-02-23
OTHER,BMNR US 02/27/26 C22,,0.07,11172.0,399,REX_ULTI,2026-02-23
OTHER,LUMENTUM PUT OPT 02/26 595,,0.07,11479.0,13,REX_ULTI,2026-02-23
OTHER,INTUITIV PUT OPT 02/26 15,,0.07,12339.0,457,REX_ULTI,2026-02-23
OTHER,RED CAT  PUT OPT 02/26 10.500,,0.07,10880.0,640,REX_ULTI,2026-02-23
OTHER,SANDISK  PUT OPT 02/26 575,,0.07,11739.0,13,REX_ULTI,2026-02-23
OTHER,URANIUM  PUT OPT 02/26 14.500,,0.07,12024.0,501,REX_ULTI,2026-02-23
OTHER,BITMINE  PUT OPT 02/26 18,,0.06,10374.0,399,REX_ULTI,2026-02-23
OTHER,ONDAS IN PUT OPT 02/26 8.500,,0.06,10309.0,793,REX_ULTI,2026-02-23
OTHER,PLANET L PUT OPT 02/26 21.500,,0.06,10688.0,334,REX_ULTI,2026-02-23
OTHER,SUNRUN I PUT OPT 02/26 17,,0.06,10296.0,396,REX_ULTI,2026-02-23
OTHER,CDE US 02/27/26 P22,,0.04,7357.5,327,REX_ULTI,2026-02-23
OTHER,PLANET L PUT OPT 02/26 24,,-0.17,-27722.0,-334,REX_ULTI,2026-02-23
OTHER,COEUR MN PUT OPT 02/26 24.500,,-0.19,-31065.0,-327,REX_ULTI,2026-02-23
OTHER,PL US 02/27/26 C24,,-0.19,-31062.0,-334,REX_ULTI,2026-02-23
OTHER,BITMINE  PUT OPT 02/26 20,,-0.21,-34713.0,-399,REX_ULTI,2026-02-23
OTHER,URANIUM  PUT OPT 02/26 16,,-0.21,-34569.0,-501,REX_ULTI,2026-02-23
OTHER,RED CAT  PUT OPT 02/26 12,,-0.22,-36480.0,-640,REX_ULTI,2026-02-23
OTHER,RIOT PLA PUT OPT 02/26 15.500,,-0.22,-36864.0,-512,REX_ULTI,2026-02-23
OTHER,SANDISK  PUT OPT 02/26 640,,-0.22,-36985.0,-13,REX_ULTI,2026-02-23
OTHER,BITMINE  CLL OPT 02/26 20,,-0.24,-39501.0,-399,REX_ULTI,2026-02-23
OTHER,COEUR MN CLL OPT 02/26 24.500,,-0.24,-38913.0,-327,REX_ULTI,2026-02-23
OTHER,LUMENTUM PUT OPT 02/26 662.500,,-0.25,-41249.0,-13,REX_ULTI,2026-02-23
OTHER,NEBIUS G CLL OPT 02/26 98,,-0.25,-41410.0,-82,REX_ULTI,2026-02-23
OTHER,NEBIUS G PUT OPT 02/26 98,,-0.25,-42066.0,-82,REX_ULTI,2026-02-23
OTHER,URANIUM  CLL OPT 02/26 16,,-0.26,-42585.0,-501,REX_ULTI,2026-02-23
OTHER,APPLIED  PUT OPT 02/26 28.500,,-0.27,-44640.0,-279,REX_ULTI,2026-02-23
OTHER,AST SPAC PUT OPT 02/26 80,,-0.27,-44600.0,-100,REX_ULTI,2026-02-23
OTHER,BLOOM EN PUT OPT 02/26 147,,-0.28,-45705.0,-55,REX_ULTI,2026-02-23
OTHER,LUMENTUM CLL OPT 02/26 662.500,,-0.28,-46046.0,-13,REX_ULTI,2026-02-23
OTHER,RIOT PLA CLL OPT 02/26 15.500,,-0.28,-46080.0,-512,REX_ULTI,2026-02-23
OTHER,SUNRUN I PUT OPT 02/26 20,,-0.28,-46332.0,-396,REX_ULTI,2026-02-23
OTHER,AST SPAC CLL OPT 02/26 80,,-0.29,-47500.0,-100,REX_ULTI,2026-02-23
OTHER,ONDAS IN PUT OPT 02/26 10,,-0.29,-47580.0,-793,REX_ULTI,2026-02-23
OTHER,ROCKET L PUT OPT 02/26 70,,-0.29,-47196.0,-114,REX_ULTI,2026-02-23
OTHER,BLOOM EN CLL OPT 02/26 147,,-0.31,-51700.0,-55,REX_ULTI,2026-02-23
OTHER,ONDAS IN CLL OPT 02/26 10,,-0.31,-51545.0,-793,REX_ULTI,2026-02-23
OTHER,SANDISK  CLL OPT 02/26 640,,-0.31,-50700.0,-13,REX_ULTI,2026-02-23
CASH,Cash & Other,,-0.32,-52697.8,-52698,REX_ULTI,2026-02-23
OTHER,LQDA US 02/27/26 C33.5,,-0.32,-53297.0,-239,REX_ULTI,2026-02-23
OTHER,INTUITIV CLL OPT 02/26 17.500,,-0.32,-52555.0,-457,REX_ULTI,2026-02-23
OTHER,INTUITIV PUT OPT 02/26 17.500,,-0.32,-52555.0,-457,REX_ULTI,2026-02-23
OTHER,CORE SCI PUT OPT 02/26 17,,-0.34,-56974.0,-467,REX_ULTI,2026-02-23
OTHER,LIQUIDIA PUT OPT 02/26 33.500,,-0.34,-56643.0,-239,REX_ULTI,2026-02-23
OTHER,ROCKET L CLL OPT 02/26 70,,-0.35,-58140.0,-114,REX_ULTI,2026-02-23
OTHER,APPLIED  CLL OPT 02/26 28.500,,-0.36,-59427.0,-279,REX_ULTI,2026-02-23
OTHER,TRADE DE PUT OPT 02/26 25,,-0.36,-58776.0,-316,REX_ULTI,2026-02-23
OTHER,SUNRUN I CLL OPT 02/26 20,,-0.37,-61776.0,-396,REX_ULTI,2026-02-23
