Date,ETF Ticker,Ticker,CUSIP,Name,Share Quantity,Price,Market Value,Weight,NetAssets,SharesOutstanding,CreationUnits
2026-02-23,ULTY,ADI   260227P00315000,ADI   260227P00315000,ADI US 02/27/26 P315,2900,0.325,94250.01,0.01,1035382053.72,29302464,1172.1
2026-02-23,ULTY,ADI   260227P00337500,ADI   260227P00337500,ADI US 02/27/26 P337.5,-1450,1.6,-232000.0,-0.02,1035382053.72,29302464,1172.1
2026-02-23,ULTY,AMD,007903107,Advanced Micro Devices Inc,100000,200.15,20015000.0,1.93,1035382053.72,29302464,1172.1
2026-02-23,ULTY,GOOGL,02079K305,Alphabet Inc,180000,314.98,56696400.0,5.48,1035382053.72,29302464,1172.1
2026-02-23,ULTY,GOOGL 260227P00282500,GOOGL 260227P00282500,ALPHABET PUT OPT 02/26 282.500,3600,0.185,66600.0,0.01,1035382053.72,29302464,1172.1
2026-02-23,ULTY,GOOGL 260227P00307500,GOOGL 260227P00307500,ALPHABET PUT OPT 02/26 307.500,-1800,2.485,-447300.0,-0.04,1035382053.72,29302464,1172.1
2026-02-23,ULTY,AMZN,023135106,Amazon.com Inc,166000,210.11,34878260.0,3.37,1035382053.72,29302464,1172.1
2026-02-23,ULTY,AMD   260227C00215000,AMD   260227C00215000,AMD US 02/27/26 C215,-1000,1.21,-121000.0,-0.01,1035382053.72,29302464,1172.1
2026-02-23,ULTY,AMD   260227P00187500,AMD   260227P00187500,AMD US 02/27/26 P187.5,2000,2.115,423000.0,0.04,1035382053.72,29302464,1172.1
2026-02-23,ULTY,AMD   260227P00197500,AMD   260227P00197500,AMD US 02/27/26 P197.5,-1000,4.85,-485000.0,-0.05,1035382053.72,29302464,1172.1
2026-02-23,ULTY,SILJ  260227C00036500,SILJ  260227C00036500,AMPLIFY  CLL OPT 02/26 36.500,-14995,1.27,-1904365.0,-0.18,1035382053.72,29302464,1172.1
2026-02-23,ULTY,SILJ  260227P00032000,SILJ  260227P00032000,AMPLIFY  PUT OPT 02/26 32,29990,0.18,539820.0,0.05,1035382053.72,29302464,1172.1
2026-02-23,ULTY,SILJ  260227P00034500,SILJ  260227P00034500,AMPLIFY  PUT OPT 02/26 34.500,-14995,0.725,-1087137.5,-0.1,1035382053.72,29302464,1172.1
2026-02-23,ULTY,SILJ,032108649,Amplify Junior Silver Miners ETF,1499500,36.14,54191930.0,5.23,1035382053.72,29302464,1172.1
2026-02-23,ULTY,AMZN  260227C00220000,AMZN  260227C00220000,AMZN US 02/27/26 C220,-1660,0.63,-104580.0,-0.01,1035382053.72,29302464,1172.1
2026-02-23,ULTY,AMZN  260227P00187500,AMZN  260227P00187500,AMZN US 02/27/26 P187.5,3320,0.235,78020.0,0.01,1035382053.72,29302464,1172.1
2026-02-23,ULTY,AMZN  260227P00202500,AMZN  260227P00202500,AMZN US 02/27/26 P202.5,-1660,1.33,-220780.0,-0.02,1035382053.72,29302464,1172.1
2026-02-23,ULTY,ADI   260227C00367500,ADI   260227C00367500,ANALOG D CLL OPT 02/26 367.500,-1450,1.725,-250125.0,-0.02,1035382053.72,29302464,1172.1
2026-02-23,ULTY,ADI,032654105,Analog Devices Inc,145000,355.03,51479350.0,4.97,1035382053.72,29302464,1172.1
2026-02-23,ULTY,ALAB  260227C00140000,ALAB  260227C00140000,ASTERA L CLL OPT 02/26 140,-2000,2.24,-448000.0,-0.04,1035382053.72,29302464,1172.1
2026-02-23,ULTY,ALAB  260227P00121000,ALAB  260227P00121000,ASTERA L PUT OPT 02/26 121,4000,2.83,1132000.0,0.11,1035382053.72,29302464,1172.1
2026-02-23,ULTY,ALAB  260227P00129000,ALAB  260227P00129000,ASTERA L PUT OPT 02/26 129,-2000,5.9,-1180000.0,-0.11,1035382053.72,29302464,1172.1
2026-02-23,ULTY,ALAB,04626A103,Astera Labs Inc,200000,129.68,25936000.0,2.5,1035382053.72,29302464,1172.1
2026-02-23,ULTY,Cash&Other,Cash&Other,Cash & Other,57235020,1.0,57235019.52,5.53,1035382053.72,29302464,1172.1
2026-02-23,ULTY,CIEN  260227P00287500,CIEN  260227P00287500,CIEN US 02/27/26 P287.5,2980,2.4,715200.0,0.07,1035382053.72,29302464,1172.1
2026-02-23,ULTY,CIEN  260227P00305000,CIEN  260227P00305000,CIEN US 02/27/26 P305,-1490,4.2,-625800.0,-0.06,1035382053.72,29302464,1172.1
2026-02-23,ULTY,CIEN  260227C00357500,CIEN  260227C00357500,CIENA CO CLL OPT 02/26 357.500,-1490,5.35,-797150.0,-0.08,1035382053.72,29302464,1172.1
2026-02-23,ULTY,CIEN,171779309,Ciena Corp,149000,334.95,49907550.0,4.82,1035382053.72,29302464,1172.1
