date,ETF Ticker,Name,Ticker,CUSIP,Share Quantity,Market Value,Weight,Date,Underlying_Ticker,Option_Strike,Option_Expiry,Option_Type,Underlying_Price,DTE,Moneyness
02/24/2026,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,2048102,110556545.96,9.32,2026-02-24,,,,,,,
02/24/2026,ARKG,TEMPUS AI INC,TEM,88023B103,1884462,107960827.98,9.1,2026-02-24,,,,,,,
02/24/2026,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,2077105,99887979.45,8.42,2026-02-24,,,,,,,
02/24/2026,ARKG,PERSONALIS INC,PSNL,71535D106,8239469,68305198.01,5.76,2026-02-24,,,,,,,
02/24/2026,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,2226134,63066376.22,5.31,2026-02-24,,,,,,,
02/24/2026,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,3253006,61449283.34,5.18,2026-02-24,,,,,,,
02/24/2026,ARKG,GUARDANT HEALTH INC,GH,40131M109,547524,51697216.08,4.36,2026-02-24,,,,,,,
02/24/2026,ARKG,NATERA INC,NTRA,632307104,233964,48980363.4,4.13,2026-02-24,,,,,,,
02/24/2026,ARKG,ILLUMINA INC,ILMN,452327109,393227,47399582.58,3.99,2026-02-24,,,,,,,
02/24/2026,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,12564414,42844651.74,3.61,2026-02-24,,,,,,,
02/24/2026,ARKG,CAREDX INC,CDNA,14167L103,2103902,39532318.58,3.33,2026-02-24,,,,,,,
02/24/2026,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,2978004,39190532.64,3.3,2026-02-24,,,,,,,
02/24/2026,ARKG,VERACYTE INC,VCYT,92337F107,1085606,38810414.5,3.27,2026-02-24,,,,,,,
02/24/2026,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,397834,33656756.4,2.84,2026-02-24,,,,,,,
02/24/2026,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,2126128,32721109.92,2.76,2026-02-24,,,,,,,
02/24/2026,ARKG,ABSCI CORP,ABSI,00091E109,11890562,31509989.3,2.65,2026-02-24,,,,,,,
02/24/2026,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,1574992,24223376.96,2.04,2026-02-24,,,,,,,
02/24/2026,ARKG,SCHRODINGER INC,SDGR,80810D103,2095730,23514090.6,1.98,2026-02-24,,,,,,,
02/24/2026,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,268620,23391429.6,1.97,2026-02-24,,,,,,,
02/24/2026,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,2889176,22680031.6,1.91,2026-02-24,,,,,,,
02/24/2026,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,2585696,19832288.32,1.67,2026-02-24,,,,,,,
02/24/2026,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,6162214,18116909.16,1.53,2026-02-24,,,,,,,
02/24/2026,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,11020656,17412636.48,1.47,2026-02-24,,,,,,,
02/24/2026,ARKG,AMGEN INC,AMGN,031162100,44578,16913784.76,1.43,2026-02-24,,,,,,,
02/24/2026,ARKG,PRIME MEDICINE INC,PRME,74168J101,4931820,16472278.8,1.39,2026-02-24,,,,,,,
02/24/2026,ARKG,CERUS CORP,CERS,157085101,6619297,15753926.86,1.33,2026-02-24,,,,,,,
02/24/2026,ARKG,INCYTE CORP,INCY,45337C102,134534,13567081.23,1.14,2026-02-24,,,,,,,
02/24/2026,ARKG,ATAIBECKLEY INC,ATAI UQ,04650F101,3264181,12958798.57,1.09,2026-02-24,,,,,,,
02/24/2026,ARKG,908 DEVICES INC,MASS,65443P102,1954913,12687385.37,1.07,2026-02-24,,,,,,,
02/24/2026,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,25669,12347045.69,1.04,2026-02-24,,,,,,,
02/24/2026,ARKG,CARIS LIFE SCIENCES INC,CAI,142152107,402960,7108214.4,0.6,2026-02-24,,,,,,,
02/24/2026,ARKG,QUANTUM-SI INC,QSI,74765K105,6936720,6325594.97,0.53,2026-02-24,,,,,,,
02/24/2026,ARKG,STANDARD BIOTOOLS INC,LAB,34385P108,3030651,3364022.61,0.28,2026-02-24,,,,,,,
02/24/2026,ARKG,GOLDMAN FS TRSY OBLIG INST 468,OTHER,X9USDGSFT,1522925,1522924.66,0.13,2026-02-24,,,,,,,
02/24/2026,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,6138,1056779.46,0.09,2026-02-24,,,,,,,
