Ticker,Name,Sector,Asset Class,Market Value,Weight,Notional Value,Share Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,ETF Ticker,Date,Underlying_Ticker,Option_Strike,Option_Expiry,Option_Type,Underlying_Price,DTE,Moneyness
NVDA,NVIDIA CORP,Information Technology,Equity,59303526015.6,7.95,"59,303,526,015.60",309598152.0,191.55,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
AAPL,APPLE INC,Information Technology,Equity,50111188940.12,6.72,"50,111,188,940.12",188260534.0,266.18,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
MSFT,MICROSOFT CORP,Information Technology,Equity,36406776880.58,4.88,"36,406,776,880.58",94693414.0,384.47,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,25441647210.85,3.41,"25,441,647,210.85",123942355.0,205.27,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
GOOGL,ALPHABET INC CLASS A,Communication,Equity,23089237055.19,3.1,"23,089,237,055.19",74125131.0,311.49,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
AVGO,BROADCOM INC,Information Technology,Equity,19875293258.48,2.67,"19,875,293,258.48",60166172.0,330.34,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
GOOG,ALPHABET INC CLASS C,Communication,Equity,18465872074.88,2.48,"18,465,872,074.88",59244352.0,311.69,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
META,META PLATFORMS INC CLASS A,Communication,Equity,17682250501.25,2.37,"17,682,250,501.25",27747745.0,637.25,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
TSLA,TESLA INC,Consumer Discretionary,Equity,14314117513.47,1.92,"14,314,117,513.47",35800509.0,399.83,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,11543468149.92,1.55,"11,543,468,149.92",23363088.0,494.09,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
LLY,ELI LILLY,Health Care,Equity,10710097241.6,1.44,"10,710,097,241.60",10117610.0,"1,058.56",United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
JPM,JPMORGAN CHASE & CO,Financials,Equity,10324188627.12,1.38,"10,324,188,627.12",34683336.0,297.67,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
XOM,EXXON MOBIL CORP,Energy,Equity,8100247811.48,1.09,"8,100,247,811.48",53729423.0,150.76,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
JNJ,JOHNSON & JOHNSON,Health Care,Equity,7546329961.52,1.01,"7,546,329,961.52",30696103.0,245.84,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
WMT,WALMART INC,Consumer Staples,Equity,7028836617.84,0.94,"7,028,836,617.84",55868664.0,125.81,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
V,VISA INC CLASS A,Financials,Equity,6590643458.24,0.88,"6,590,643,458.24",21501512.0,306.52,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,6020278919.93,0.81,"6,020,278,919.93",14300969.0,420.97,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,5567547139.7,0.75,"5,567,547,139.70",5646485.0,986.02,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
MA,MASTERCARD INC CLASS A,Financials,Equity,5181933148.42,0.69,"5,181,933,148.42",10446814.0,496.03,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
ABBV,ABBVIE INC,Health Care,Equity,5167335635.28,0.69,"5,167,335,635.28",22517586.0,229.48,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
PG,PROCTER & GAMBLE,Consumer Staples,Equity,4917364435.95,0.66,"4,917,364,435.95",29771535.0,165.17,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
HD,HOME DEPOT INC,Consumer Discretionary,Equity,4780919698.79,0.64,"4,780,919,698.79",12681821.0,376.99,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
GE,GE AEROSPACE,Industrials,Equity,4555734068.6,0.61,"4,555,734,068.60",13439140.0,338.99,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
CAT,CATERPILLAR INC,Industrials,Equity,4510357059.78,0.6,"4,510,357,059.78",5962374.0,756.47,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
CVX,CHEVRON CORP,Energy,Equity,4458991854.9,0.6,"4,458,991,854.90",24114390.0,184.91,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
BAC,BANK OF AMERICA CORP,Financials,Equity,4371363410.68,0.59,"4,371,363,410.68",85595524.0,51.07,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
NFLX,NETFLIX INC,Communication,Equity,4104030771.96,0.55,"4,104,030,771.96",53986198.0,76.02,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,4077944633.8,0.55,"4,077,944,633.80",20742343.0,196.60,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
KO,COCA-COLA,Consumer Staples,Equity,3973612977.28,0.53,"3,973,612,977.28",49324888.0,80.56,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
MRK,MERCK & CO INC,Health Care,Equity,3915513551.32,0.53,"3,915,513,551.32",31622626.0,123.82,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,3903126152.38,0.52,"3,903,126,152.38",50207437.0,77.74,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
LRCX,LAM RESEARCH CORP,Information Technology,Equity,3876981154.83,0.52,"3,876,981,154.83",16002729.0,242.27,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,3800980571.6,0.51,"3,800,980,571.60",29103986.0,130.60,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,3791468249.4,0.51,"3,791,468,249.40",10149828.0,373.55,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,3713070417.98,0.5,"3,713,070,417.98",19832659.0,187.22,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
RTX,RTX CORP,Industrials,Equity,3449257208.32,0.46,"3,449,257,208.32",17082296.0,201.92,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,3409686048.9,0.46,"3,409,686,048.90",3821190.0,892.31,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
WFC,WELLS FARGO,Financials,Equity,3405484501.9,0.46,"3,405,484,501.90",39993946.0,85.15,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,3258502033.38,0.44,"3,258,502,033.38",11541057.0,282.34,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,3035555553.12,0.41,"3,035,555,553.12",9073277.0,334.56,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
ORCL,ORACLE CORP,Information Technology,Equity,3028176220.03,0.41,"3,028,176,220.03",21429313.0,141.31,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
LIN,LINDE PLC,Materials,Equity,2963889239.85,0.4,"2,963,889,239.85",5949315.0,498.19,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
PEP,PEPSICO INC,Consumer Staples,Equity,2932290096.0,0.39,"2,932,290,096.00",17420925.0,168.32,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
GEV,GE VERNOVA INC,Industrials,Equity,2874994777.3,0.39,"2,874,994,777.30",3456769.0,831.70,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,2668815462.24,0.36,"2,668,815,462.24",53720118.0,49.68,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,2659918926.6,0.36,"2,659,918,926.60",11909196.0,223.35,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
AMGN,AMGEN INC,Health Care,Equity,2603070478.94,0.35,"2,603,070,478.94",6860657.0,379.42,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
T,AT&T INC,Communication,Equity,2576049435.28,0.35,"2,576,049,435.28",90324314.0,28.52,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
MS,MORGAN STANLEY,Financials,Equity,2566907718.0,0.34,"2,566,907,718.00",15389135.0,166.80,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
ABT,ABBOTT LABORATORIES,Health Care,Equity,2554177317.3,0.34,"2,554,177,317.30",22154370.0,115.29,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,2545193460.08,0.34,"2,545,193,460.08",11576428.0,219.86,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
C,CITIGROUP INC,Financials,Equity,2524762877.0,0.34,"2,524,762,877.00",22796956.0,110.75,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
NEE,NEXTERA ENERGY INC,Utilities,Equity,2495775624.08,0.33,"2,495,775,624.08",26533868.0,94.06,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
INTC,INTEL CORPORATION CORP,Information Technology,Equity,2492430852.94,0.33,"2,492,430,852.94",57126538.0,43.63,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
KLAC,KLA CORP,Information Technology,Equity,2490353253.62,0.33,"2,490,353,253.62",1674007.0,"1,487.66",United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,2472075883.72,0.33,"2,472,075,883.72",4786763.0,516.44,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
DIS,WALT DISNEY,Communication,Equity,2374887620.67,0.32,"2,374,887,620.67",22745787.0,104.41,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
GILD,GILEAD SCIENCES INC,Health Care,Equity,2368387082.46,0.32,"2,368,387,082.46",15807162.0,149.83,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,2305281429.26,0.31,"2,305,281,429.26",15595193.0,147.82,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
BA,BOEING,Industrials,Equity,2299022682.6,0.31,"2,299,022,682.60",9976665.0,230.44,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
TJX,TJX INC,Consumer Discretionary,Equity,2235961728.13,0.3,"2,235,961,728.13",14179477.0,157.69,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
ADI,ANALOG DEVICES INC,Information Technology,Equity,2226023020.85,0.3,"2,226,023,020.85",6267839.0,355.15,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,2222520440.0,0.3,"2,222,520,440.00",4516400.0,492.10,United States,NASDAQ,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
AXP,AMERICAN EXPRESS,Financials,Equity,2199050989.92,0.29,"2,199,050,989.92",6845508.0,321.24,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
CRM,SALESFORCE INC,Information Technology,Equity,2160935421.44,0.29,"2,160,935,421.44",12129184.0,178.16,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
DE,DEERE,Industrials,Equity,2071903553.44,0.28,"2,071,903,553.44",3203116.0,646.84,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
UNP,UNION PACIFIC CORP,Industrials,Equity,1993318459.44,0.27,"1,993,318,459.44",7557319.0,263.76,United States,NYSE,USD,1.0,USD,-,IVV,2026-02-24,,,,,,,
