Ticker,Name,Sector,Asset Class,Market Value,Weight,Notional Value,Share Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,ETF Ticker,Date,Underlying_Ticker,Option_Strike,Option_Expiry,Option_Type,Underlying_Price,DTE,Moneyness
NVDA,NVIDIA CORP,Information Technology,Equity,3275527028.25,7.14,"3,275,527,028.25",17100115.0,191.55,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
AAPL,APPLE INC,Information Technology,Equity,2835320878.74,6.18,"2,835,320,878.74",10651893.0,266.18,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
MSFT,MICROSOFT CORP,Information Technology,Equity,2083358346.6,4.54,"2,083,358,346.60",5418780.0,384.47,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,1438693502.22,3.14,"1,438,693,502.22",7008786.0,205.27,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
GOOGL,ALPHABET INC CLASS A,Communication,Equity,1322924506.65,2.88,"1,322,924,506.65",4247085.0,311.49,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
AVGO,BROADCOM INC,Information Technology,Equity,1114677163.22,2.43,"1,114,677,163.22",3374333.0,330.34,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
GOOG,ALPHABET INC CLASS C,Communication,Equity,1077873267.02,2.35,"1,077,873,267.02",3458158.0,311.69,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
META,META PLATFORMS INC CLASS A,Communication,Equity,1016584533.0,2.22,"1,016,584,533.00",1595268.0,637.25,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
TSLA,TESLA INC,Consumer Discretionary,Equity,824287129.02,1.8,"824,287,129.02",2061594.0,399.83,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,665833707.64,1.45,"665,833,707.64",1347596.0,494.09,United States,NYSE,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
LLY,ELI LILLY,Health Care,Equity,619620686.08,1.35,"619,620,686.08",585343.0,"1,058.56",United States,NYSE,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
JPM,JPMORGAN CHASE & CO,Financials,Equity,590831192.51,1.29,"590,831,192.51",1984853.0,297.67,United States,NYSE,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
XOM,EXXON MOBIL CORP,Energy,Equity,465365968.0,1.01,"465,365,968.00",3086800.0,150.76,United States,NYSE,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
JNJ,JOHNSON & JOHNSON,Health Care,Equity,432249409.2,0.94,"432,249,409.20",1758255.0,245.84,United States,NYSE,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
WMT,WALMART INC,Consumer Staples,Equity,399925079.62,0.87,"399,925,079.62",3178802.0,125.81,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
V,VISA INC CLASS A,Financials,Equity,376993545.8,0.82,"376,993,545.80",1229915.0,306.52,United States,NYSE,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,343695483.89,0.75,"343,695,483.89",816437.0,420.97,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,319770230.08,0.7,"319,770,230.08",324304.0,986.02,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
ABBV,ABBVIE INC,Health Care,Equity,297052221.84,0.65,"297,052,221.84",1294458.0,229.48,United States,NYSE,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
MA,MASTERCARD INC CLASS A,Financials,Equity,291553041.19,0.64,"291,553,041.19",587773.0,496.03,United States,NYSE,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
PG,PROCTER & GAMBLE,Consumer Staples,Equity,283229386.75,0.62,"283,229,386.75",1714775.0,165.17,United States,NYSE,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
HD,HOME DEPOT INC,Consumer Discretionary,Equity,274024983.24,0.6,"274,024,983.24",726876.0,376.99,United States,NYSE,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
GE,GE AEROSPACE,Industrials,Equity,257679858.6,0.56,"257,679,858.60",760140.0,338.99,United States,NYSE,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
CAT,CATERPILLAR INC,Industrials,Equity,255710310.57,0.56,"255,710,310.57",338031.0,756.47,United States,NYSE,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
CVX,CHEVRON CORP,Energy,Equity,252908803.4,0.55,"252,908,803.40",1367740.0,184.91,United States,NYSE,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
BAC,BANK OF AMERICA CORP,Financials,Equity,247921051.38,0.54,"247,921,051.38",4854534.0,51.07,United States,NYSE,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
NFLX,NETFLIX INC,Communication,Equity,235414706.94,0.51,"235,414,706.94",3096747.0,76.02,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,231362222.2,0.5,"231,362,222.20",1176817.0,196.60,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
KO,COCA-COLA,Consumer Staples,Equity,228996391.92,0.5,"228,996,391.92",2842557.0,80.56,United States,NYSE,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
MRK,MERCK & CO INC,Health Care,Equity,228044494.44,0.5,"228,044,494.44",1841742.0,123.82,United States,NYSE,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,226148614.12,0.49,"226,148,614.12",2909038.0,77.74,United States,NASDAQ,USD,1.0,USD,-,IWM,2026-02-24,,,,,,,
