Ticker,Name,CUSIP,Weight,Market Value,Share Quantity,ETF Ticker,Date,Underlying_Ticker,Option_Strike,Option_Expiry,Option_Type,Underlying_Price,DTE,Moneyness
OTHER,FIRST AMERICAN GOVERNMENT OBLI FIRST AM GOV OBLIG X,31846V336,8.01,1326229.4,1326229,REX_ULTI,2026-02-24,,,,,,,
OTHER,BLOOM ENERGY CORP. CLASS A,093712107,5.33,881540.0,5500,REX_ULTI,2026-02-24,,,,,,,
OTHER,LUMENTUM HOLDINGS INC,55024U109,5.3,877149.0,1300,REX_ULTI,2026-02-24,,,,,,,
OTHER,SANDISK CORP/DE SNDKV,80004C200,5.24,866437.0,1300,REX_ULTI,2026-02-24,,,,,,,
OTHER,TERAWULF INC,88080T104,5.1,843584.0,53800,REX_ULTI,2026-02-24,,,,,,,
OTHER,AST SPACEMOBILE INC CLASS A,00217D100,5.07,839000.0,10000,REX_ULTI,2026-02-24,,,,,,,
OTHER,APPLIED DIGITAL CORP COMMON STOCK USD 0.001,038169207,5.06,837000.0,27900,REX_ULTI,2026-02-24,,,,,,,
OTHER,INTUITIVE MACHINES INC COMMON STOCK USD.0001,46125A100,5.02,830812.0,45800,REX_ULTI,2026-02-24,,,,,,,
OTHER,Nebius Group NV,N97284108,4.99,825002.0,8200,REX_ULTI,2026-02-24,,,,,,,
OTHER,RED CAT HOLDINGS INC,75644T100,4.96,820797.0,64200,REX_ULTI,2026-02-24,,,,,,,
OTHER,Ondas Holdings Inc.,68236H204,4.88,808067.0,79300,REX_ULTI,2026-02-24,,,,,,,
OTHER,RIOT PLATFORMS INC.,767292105,4.85,802845.0,51300,REX_ULTI,2026-02-24,,,,,,,
OTHER,ROCKET LAB CORP,773121108,4.84,800394.0,11400,REX_ULTI,2026-02-24,,,,,,,
OTHER,URANIUM ENERGY CORP,916896103,4.84,801694.0,50200,REX_ULTI,2026-02-24,,,,,,,
OTHER,COEUR MINING INC.,192108504,4.81,796418.0,32600,REX_ULTI,2026-02-24,,,,,,,
OTHER,PLANET LABS PBC,72703X106,4.8,794252.0,33400,REX_ULTI,2026-02-24,,,,,,,
OTHER,SUNRUN INC,86771W105,4.78,791604.0,39600,REX_ULTI,2026-02-24,,,,,,,
OTHER,CORE SCIENTIFIC INC,21874A106,4.77,788763.0,46700,REX_ULTI,2026-02-24,,,,,,,
OTHER,LIQUIDIA CORP,53635D202,4.71,779212.0,23800,REX_ULTI,2026-02-24,,,,,,,
OTHER,BITMINE IMMERSION TECHNOLOGI COMMON STOCK,09175A206,4.63,766878.0,39900,REX_ULTI,2026-02-24,,,,,,,
OTHER,TRADE DESK INC/THE -CLASS A,88339J105,4.62,763772.0,31600,REX_ULTI,2026-02-24,,,,,,,
CASH,Cash & Other,,1.24,204981.87,204982,REX_ULTI,2026-02-24,,,,,,,
OTHER,BE US 02/27/26 C165,,0.23,38500.0,55,REX_ULTI,2026-02-24,,,,,,,
OTHER,LQDA US 02/27/26 P26.5,,0.2,33460.0,239,REX_ULTI,2026-02-24,,,,,,,
OTHER,RCAT US 02/27/26 C13.5,,0.19,32000.0,640,REX_ULTI,2026-02-24,,,,,,,
OTHER,SNDK US 02/27/26 C705,,0.16,26325.0,13,REX_ULTI,2026-02-24,,,,,,,
OTHER,APLD US 02/27/26 C32,,0.15,25110.0,279,REX_ULTI,2026-02-24,,,,,,,
OTHER,ASTS US 02/27/26 C89,,0.15,24200.0,100,REX_ULTI,2026-02-24,,,,,,,
OTHER,WULF US 02/27/26 C17.5,,0.14,23134.0,538,REX_ULTI,2026-02-24,,,,,,,
OTHER,TTD US 02/27/26 P21,,0.12,19908.0,316,REX_ULTI,2026-02-24,,,,,,,
OTHER,LITE US 02/27/26 C730,,0.11,18200.0,13,REX_ULTI,2026-02-24,,,,,,,
OTHER,LUNR US 02/27/26 C20,,0.11,18280.0,457,REX_ULTI,2026-02-24,,,,,,,
OTHER,BMNR US 02/27/26 P18,,0.1,15960.0,399,REX_ULTI,2026-02-24,,,,,,,
OTHER,RKLB US 02/27/26 C79,,0.1,16644.0,114,REX_ULTI,2026-02-24,,,,,,,
OTHER,NBIS US 02/27/26 C108,,0.09,15170.0,82,REX_ULTI,2026-02-24,,,,,,,
OTHER,RUN US 02/27/26 C23,,0.09,15048.0,396,REX_ULTI,2026-02-24,,,,,,,
OTHER,TTD US 02/27/26 C29,,0.09,14852.0,316,REX_ULTI,2026-02-24,,,,,,,
OTHER,CORZ US 02/27/26 C19.5,,0.08,13543.0,467,REX_ULTI,2026-02-24,,,,,,,
OTHER,RIOT US 02/27/26 C17,,0.07,12288.0,512,REX_ULTI,2026-02-24,,,,,,,
OTHER,RKLB US 02/27/26 P61,,0.07,10830.0,114,REX_ULTI,2026-02-24,,,,,,,
OTHER,RUN US 02/27/26 P17,,0.07,11880.0,396,REX_ULTI,2026-02-24,,,,,,,
OTHER,WULF US 02/27/26 P12.5,,0.07,10760.0,538,REX_ULTI,2026-02-24,,,,,,,
OTHER,CORZ US 02/27/26 P14.5,,0.06,10741.0,467,REX_ULTI,2026-02-24,,,,,,,
OTHER,ONDS US 02/27/26 C11.5,,0.06,10309.0,793,REX_ULTI,2026-02-24,,,,,,,
OTHER,RIOT US 02/27/26 P14,,0.06,10240.0,512,REX_ULTI,2026-02-24,,,,,,,
OTHER,UEC US 02/27/26 C17.5,,0.06,10020.0,501,REX_ULTI,2026-02-24,,,,,,,
OTHER,UEC US 02/27/26 P14.5,,0.06,9519.0,501,REX_ULTI,2026-02-24,,,,,,,
OTHER,CDE US 02/27/26 C27,,0.05,8175.0,327,REX_ULTI,2026-02-24,,,,,,,
OTHER,LITE US 02/27/26 P595,,0.05,8775.0,13,REX_ULTI,2026-02-24,,,,,,,
OTHER,NBIS US 02/27/26 P88,,0.05,8774.0,82,REX_ULTI,2026-02-24,,,,,,,
OTHER,RCAT US 02/27/26 P10.5,,0.05,7680.0,640,REX_ULTI,2026-02-24,,,,,,,
OTHER,SNDK US 02/27/26 P575,,0.05,8450.0,13,REX_ULTI,2026-02-24,,,,,,,
OTHER,APLD US 02/27/26 P25,,0.04,6696.0,279,REX_ULTI,2026-02-24,,,,,,,
OTHER,CDE US 02/27/26 P22,,0.04,5886.0,327,REX_ULTI,2026-02-24,,,,,,,
OTHER,LQDA US 02/27/26 C40.5,,0.04,6931.0,239,REX_ULTI,2026-02-24,,,,,,,
OTHER,LUNR US 02/27/26 P15,,0.04,5941.0,457,REX_ULTI,2026-02-24,,,,,,,
OTHER,ONDS US 02/27/26 P8.5,,0.04,6344.0,793,REX_ULTI,2026-02-24,,,,,,,
OTHER,PL US 02/27/26 C26.5,,0.04,6680.0,334,REX_ULTI,2026-02-24,,,,,,,
OTHER,ASTS US 02/27/26 P71,,0.03,5600.0,100,REX_ULTI,2026-02-24,,,,,,,
OTHER,BE US 02/27/26 P129,,0.03,4510.0,55,REX_ULTI,2026-02-24,,,,,,,
OTHER,BMNR US 02/27/26 C22,,0.03,4389.0,399,REX_ULTI,2026-02-24,,,,,,,
OTHER,PL US 02/27/26 P21.5,,0.03,5010.0,334,REX_ULTI,2026-02-24,,,,,,,
OTHER,BE US 02/27/26 P147,,-0.12,-20625.0,-55,REX_ULTI,2026-02-24,,,,,,,
OTHER,BMNR US 02/27/26 C20,,-0.12,-19950.0,-399,REX_ULTI,2026-02-24,,,,,,,
OTHER,ASTS US 02/27/26 P80,,-0.15,-25500.0,-100,REX_ULTI,2026-02-24,,,,,,,
OTHER,RCAT US 02/27/26 P12,,-0.17,-28160.0,-640,REX_ULTI,2026-02-24,,,,,,,
OTHER,UEC US 02/27/26 C16,,-0.17,-28056.0,-501,REX_ULTI,2026-02-24,,,,,,,
OTHER,UEC US 02/27/26 P16,,-0.17,-28056.0,-501,REX_ULTI,2026-02-24,,,,,,,
OTHER,SNDK US 02/27/26 P640,,-0.18,-29900.0,-13,REX_ULTI,2026-02-24,,,,,,,
OTHER,APLD US 02/27/26 P28.5,,-0.19,-30690.0,-279,REX_ULTI,2026-02-24,,,,,,,
OTHER,LUNR US 02/27/26 P17.5,,-0.19,-31990.0,-457,REX_ULTI,2026-02-24,,,,,,,
OTHER,NBIS US 02/27/26 P98,,-0.19,-31980.0,-82,REX_ULTI,2026-02-24,,,,,,,
OTHER,CDE US 02/27/26 C24.5,,-0.2,-32700.0,-327,REX_ULTI,2026-02-24,,,,,,,
OTHER,CDE US 02/27/26 P24.5,,-0.2,-32700.0,-327,REX_ULTI,2026-02-24,,,,,,,
OTHER,PL US 02/27/26 C24,,-0.2,-33400.0,-334,REX_ULTI,2026-02-24,,,,,,,
OTHER,PL US 02/27/26 P24,,-0.2,-33400.0,-334,REX_ULTI,2026-02-24,,,,,,,
OTHER,RIOT US 02/27/26 P15.5,,-0.2,-33280.0,-512,REX_ULTI,2026-02-24,,,,,,,
OTHER,ONDS US 02/27/26 P10,,-0.22,-35685.0,-793,REX_ULTI,2026-02-24,,,,,,,
OTHER,CORZ US 02/27/26 C17,,-0.24,-39695.0,-467,REX_ULTI,2026-02-24,,,,,,,
OTHER,LITE US 02/27/26 P662.5,,-0.24,-39000.0,-13,REX_ULTI,2026-02-24,,,,,,,
OTHER,RIOT US 02/27/26 C15.5,,-0.24,-39936.0,-512,REX_ULTI,2026-02-24,,,,,,,
