date,ETF Ticker,Name,Ticker,CUSIP,Share Quantity,Market Value,Weight,Date,Underlying_Ticker,Option_Strike,Option_Expiry,Option_Type,Underlying_Price,DTE,Moneyness
03/05/2026,ARKK,TESLA INC,TSLA,88160R101,1712422,695140586.68,10.27,2026-03-06,,,,,,,
03/05/2026,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,7607000,456420000.0,6.74,2026-03-06,,,,,,,
03/05/2026,ARKK,TEMPUS AI INC-CL A,TEM,88023B103,6487468,332742233.72,4.92,2026-03-06,,,,,,,
03/05/2026,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,1544572,322707427.96,4.77,2026-03-06,,,,,,,
03/05/2026,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,2474961,320878693.65,4.74,2026-03-06,,,,,,,
03/05/2026,ARKK,CIRCLE INTERNET GROUP INC,CRCL,172573107,2829725,297885150.75,4.4,2026-03-06,,,,,,,
03/05/2026,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,3593765,295443420.65,4.36,2026-03-06,,,,,,,
03/05/2026,ARKK,ROKU INC,ROKU,77543R102,2791000,272150410.0,4.02,2026-03-06,,,,,,,
03/05/2026,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,3813413,257024036.2,3.8,2026-03-06,,,,,,,
03/05/2026,ARKK,ADVANCED MICRO DEVICES,AMD,007903107,1237027,249966045.89,3.69,2026-03-06,,,,,,,
03/05/2026,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,8748388,240055766.72,3.55,2026-03-06,,,,,,,
03/05/2026,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,1494766,228983203.54,3.38,2026-03-06,,,,,,,
03/05/2026,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,3837647,184437314.82,2.72,2026-03-06,,,,,,,
03/05/2026,ARKK,TERADYNE INC,TER,880770102,579550,176878660.0,2.61,2026-03-06,,,,,,,
03/05/2026,ARKK,BULLISH,BLSH,G16910120,4778910,176150622.6,2.6,2026-03-06,,,,,,,
03/05/2026,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,7350556,164431937.72,2.43,2026-03-06,,,,,,,
03/05/2026,ARKK,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,6493724,137147450.88,2.03,2026-03-06,,,,,,,
03/05/2026,ARKK,ARCHER AVIATION INC-A,ACHR,03945R102,19476943,131664134.68,1.95,2026-03-06,,,,,,,
03/05/2026,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,9534408,131765518.56,1.95,2026-03-06,,,,,,,
03/05/2026,ARKK,AMAZON.COM INC,AMZN,023135106,606065,131407013.3,1.94,2026-03-06,,,,,,,
03/05/2026,ARKK,COREWEAVE INC-CL A,CRWV,21873S108,1529053,121559713.5,1.8,2026-03-06,,,,,,,
03/05/2026,ARKK,NVIDIA CORP,NVDA,67066G104,576753,105568869.12,1.56,2026-03-06,,,,,,,
03/05/2026,ARKK,BLOCK INC,XYZ,852234103,1581942,103205896.08,1.52,2026-03-06,,,,,,,
03/05/2026,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,266775,95356056.0,1.41,2026-03-06,,,,,,,
03/05/2026,ARKK,DEERE & CO,DE,244199105,151118,92792496.72,1.37,2026-03-06,,,,,,,
03/05/2026,ARKK,ILLUMINA INC,ILMN,452327109,697469,89952576.93,1.33,2026-03-06,,,,,,,
03/05/2026,ARKK,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,23632289,86021531.96,1.27,2026-03-06,,,,,,,
03/05/2026,ARKK,NATERA INC,NTRA,632307104,419321,85134742.63,1.26,2026-03-06,,,,,,,
03/05/2026,ARKK,KRATOS DEFENSE & SECURITY,KTOS,50077B207,910781,81177910.53,1.2,2026-03-06,,,,,,,
03/05/2026,ARKK,BWX TECHNOLOGIES INC,BWXT,05605H100,370244,76111059.08,1.12,2026-03-06,,,,,,,
03/05/2026,ARKK,META PLATFORMS INC-CLASS A,META,30303M102,112946,75417432.58,1.11,2026-03-06,,,,,,,
03/05/2026,ARKK,VERACYTE INC,VCYT,92337F107,2010557,72922902.39,1.08,2026-03-06,,,,,,,
03/05/2026,ARKK,BAIDU INC - SPON ADR,BIDU,056752108,576593,68603035.14,1.01,2026-03-06,,,,,,,
03/05/2026,ARKK,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,477315,63611770.05,0.94,2026-03-06,,,,,,,
03/05/2026,ARKK,BROADCOM INC,AVGO,11135F101,197010,62556585.3,0.92,2026-03-06,,,,,,,
03/05/2026,ARKK,GENEDX HOLDINGS CORP,WGS,81663L200,769185,61127131.95,0.9,2026-03-06,,,,,,,
03/05/2026,ARKK,ALPHABET INC-CL C,GOOG,02079K107,182690,55437280.5,0.82,2026-03-06,,,,,,,
03/05/2026,ARKK,FIGMA INC-CL A,FIG,316841105,1569126,46508894.64,0.69,2026-03-06,,,,,,,
03/05/2026,ARKK,SOFI TECHNOLOGIES INC,SOFI,83406F102,2301035,43029354.5,0.64,2026-03-06,,,,,,,
03/05/2026,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,21329620,33274207.2,0.49,2026-03-06,,,,,,,
03/05/2026,ARKK,CERUS CORP,CERS,157085101,9946843,22280928.32,0.33,2026-03-06,,,,,,,
03/05/2026,ARKK,BRERA HOLDINGS PLC-CL B,SLMT,G13311116,6994478,9652379.64,0.14,2026-03-06,,,,,,,
03/05/2026,ARKK,GOLDMAN FS TRSY OBLIG INST 468,OTHER,X9USDGSFT,9233956,9233956.44,0.14,2026-03-06,,,,,,,
03/05/2026,ARKK,BRERA HOLDINGS PLC WTS,OTHER,BREADUMMY,4316257,5179508.4,0.08,2026-03-06,,,,,,,
03/05/2026,ARKK,PAGERDUTY INC,PD,69553P100,745,5676.9,0.0,2026-03-06,,,,,,,
