Name,Ticker,Security Type,CUSIP,ISIN,SEDOL,Share Quantity,Market Value,Weight,Coupon,Maturity Date,Sector,Country,ETF Ticker,Date,Underlying_Ticker,Option_Strike,Option_Expiry,Option_Type,Underlying_Price,DTE,Moneyness
TARGA RESOURCES CORP COMMON STOCK USD.001,TRGP,COMMON STOCK,87612G101,US87612G1013,B55PZY3,29857,7136121.57,1.42,0,,ENERGY,UNITED STATES,AVMV,2026-03-06,,,,,,,
OCCIDENTAL PETROLEUM CORP COMMON STOCK USD.2,OXY,COMMON STOCK,674599105,US6745991058,2655408,120392,6409670.08,1.27,0,,ENERGY,UNITED STATES,AVMV,2026-03-06,,,,,,,
TARGET CORP COMMON STOCK USD.0833,TGT,COMMON STOCK,87612E106,US87612E1064,2259101,51749,6228509.64,1.24,0,,CONSUMER STAPLES,UNITED STATES,AVMV,2026-03-06,,,,,,,
HARTFORD INSURANCE GROUP INC COMMON STOCK USD.01,HIG,COMMON STOCK,416515104,US4165151048,2476193,42594,5949529.92,1.18,0,,FINANCIALS,UNITED STATES,AVMV,2026-03-06,,,,,,,
OLD DOMINION FREIGHT LINE COMMON STOCK USD.1,ODFL,COMMON STOCK,679580100,US6795801009,2656423,27576,5809711.68,1.15,0,,INDUSTRIALS,UNITED STATES,AVMV,2026-03-06,,,,,,,
AMERIPRISE FINANCIAL INC COMMON STOCK USD.01,AMP,COMMON STOCK,03076C106,US03076C1062,B0J7D57,11872,5614150.08,1.11,0,,FINANCIALS,UNITED STATES,AVMV,2026-03-06,,,,,,,
EQT CORP COMMON STOCK,EQT,COMMON STOCK,26884L109,US26884L1098,2319414,90644,5590015.48,1.11,0,,ENERGY,UNITED STATES,AVMV,2026-03-06,,,,,,,
KROGER CO COMMON STOCK USD1.0,KR,COMMON STOCK,501044101,US5010441013,2497406,77734,5563422.38,1.1,0,,CONSUMER STAPLES,UNITED STATES,AVMV,2026-03-06,,,,,,,
NUCOR CORP COMMON STOCK USD.4,NUE,COMMON STOCK,670346105,US6703461052,2651086,32310,5560551.0,1.1,0,,MATERIALS,UNITED STATES,AVMV,2026-03-06,,,,,,,
FIFTH THIRD BANCORP COMMON STOCK,FITB,COMMON STOCK,316773100,US3167731005,2336747,113777,5539802.13,1.1,0,,FINANCIALS,UNITED STATES,AVMV,2026-03-06,,,,,,,
DELTA AIR LINES INC COMMON STOCK USD.0001,DAL,COMMON STOCK,247361702,US2473617023,B1W9D46,89724,5500978.44,1.09,0,,INDUSTRIALS,UNITED STATES,AVMV,2026-03-06,,,,,,,
AMERICAN INTERNATIONAL GROUP COMMON STOCK USD2.5,AIG,COMMON STOCK,026874784,US0268747849,2027342,68446,5480471.22,1.09,0,,FINANCIALS,UNITED STATES,AVMV,2026-03-06,,,,,,,
ONEOK INC COMMON STOCK USD.01,OKE,COMMON STOCK,682680103,US6826801036,2130109,62786,5374481.6,1.07,0,,ENERGY,UNITED STATES,AVMV,2026-03-06,,,,,,,
CHENIERE ENERGY INC COMMON STOCK USD.003,LNG,COMMON STOCK,16411R208,US16411R2085,2654364,21204,5291246.16,1.05,0,,ENERGY,UNITED STATES,AVMV,2026-03-06,,,,,,,
DOLLAR GENERAL CORP COMMON STOCK USD.875,DG,COMMON STOCK,256677105,US2566771059,B5B1S13,34519,5058759.45,1.0,0,,CONSUMER STAPLES,UNITED STATES,AVMV,2026-03-06,,,,,,,
ARCHER DANIELS MIDLAND CO COMMON STOCK,ADM,COMMON STOCK,039483102,US0394831020,2047317,72925,4851700.25,0.96,0,,CONSUMER STAPLES,UNITED STATES,AVMV,2026-03-06,,,,,,,
CARNIVAL CORP COMMON STOCK USD.01,CCL,COMMON STOCK,143658300,PA1436583006,2523044,177310,4815739.6,0.96,0,,CONSUMER DISCRETIONARY,UNITED STATES,AVMV,2026-03-06,,,,,,,
PRUDENTIAL FINANCIAL INC COMMON STOCK USD.01,PRU,COMMON STOCK,744320102,US7443201022,2819118,48533,4811561.62,0.96,0,,FINANCIALS,UNITED STATES,AVMV,2026-03-06,,,,,,,
DR HORTON INC COMMON STOCK USD.01,DHI,COMMON STOCK,23331A109,US23331A1097,2250687,32043,4802604.84,0.95,0,,CONSUMER DISCRETIONARY,UNITED STATES,AVMV,2026-03-06,,,,,,,
COMFORT SYSTEMS USA INC COMMON STOCK USD.01,FIX,COMMON STOCK,199908104,US1999081045,2036047,3534,4762135.68,0.95,0,,INDUSTRIALS,UNITED STATES,AVMV,2026-03-06,,,,,,,
HALLIBURTON CO COMMON STOCK USD2.5,HAL,COMMON STOCK,406216101,US4062161017,2405302,138415,4728256.4,0.94,0,,ENERGY,UNITED STATES,AVMV,2026-03-06,,,,,,,
TECHNIPFMC PLC COMMON STOCK USD1.0,FTI,COMMON STOCK,G87110105,GB00BDSFG982,BDSFG98,73286,4722549.84,0.94,0,,ENERGY,UNITED STATES,AVMV,2026-03-06,,,,,,,
DEVON ENERGY CORP COMMON STOCK USD.1,DVN,COMMON STOCK,25179M103,US25179M1036,2480677,105811,4710705.72,0.94,0,,ENERGY,UNITED STATES,AVMV,2026-03-06,,,,,,,
EMCOR GROUP INC COMMON STOCK USD.01,EME,COMMON STOCK,29084Q100,US29084Q1004,2474164,6429,4622515.29,0.92,0,,INDUSTRIALS,UNITED STATES,AVMV,2026-03-06,,,,,,,
CBRE GROUP INC   A COMMON STOCK USD.01,CBRE,COMMON STOCK,12504L109,US12504L1098,B6WVMH3,32704,4617477.76,0.92,0,,REAL ESTATE,UNITED STATES,AVMV,2026-03-06,,,,,,,
ARCH CAPITAL GROUP LTD COMMON STOCK USD.01,ACGL,COMMON STOCK,G0450A105,BMG0450A1053,2740542,47158,4577627.06,0.91,0,,FINANCIALS,UNITED STATES,AVMV,2026-03-06,,,,,,,
ULTA BEAUTY INC COMMON STOCK,ULTA,COMMON STOCK,90384S303,US90384S3031,B28TS42,6988,4567636.32,0.91,0,,CONSUMER DISCRETIONARY,UNITED STATES,AVMV,2026-03-06,,,,,,,
UNITED AIRLINES HOLDINGS INC COMMON STOCK USD.01,UAL,COMMON STOCK,910047109,US9100471096,B4QG225,45646,4355997.78,0.87,0,,INDUSTRIALS,UNITED STATES,AVMV,2026-03-06,,,,,,,
COGNIZANT TECH SOLUTIONS A COMMON STOCK USD.01,CTSH,COMMON STOCK,192446102,US1924461023,2257019,66106,4348452.68,0.86,0,,INFORMATION TECHNOLOGY,UNITED STATES,AVMV,2026-03-06,,,,,,,
M + T BANK CORP COMMON STOCK USD.5,MTB,COMMON STOCK,55261F104,US55261F1049,2340168,19476,4206621.24,0.84,0,,FINANCIALS,UNITED STATES,AVMV,2026-03-06,,,,,,,
STATE STREET CORP COMMON STOCK USD1.0,STT,COMMON STOCK,857477103,US8574771031,2842040,33245,4160279.3,0.83,0,,FINANCIALS,UNITED STATES,AVMV,2026-03-06,,,,,,,
BIOGEN INC COMMON STOCK USD.0005,BIIB,COMMON STOCK,09062X103,US09062X1037,2455965,21994,4136631.52,0.82,0,,HEALTH CARE,UNITED STATES,AVMV,2026-03-06,,,,,,,
HERSHEY CO/THE COMMON STOCK USD1.0,HSY,COMMON STOCK,427866108,US4278661081,2422806,18171,4117185.18,0.82,0,,CONSUMER STAPLES,UNITED STATES,AVMV,2026-03-06,,,,,,,
DIAMONDBACK ENERGY INC COMMON STOCK USD.01,FANG,COMMON STOCK,25278X109,US25278X1090,B7Y8YR3,22851,4091243.04,0.81,0,,ENERGY,UNITED STATES,AVMV,2026-03-06,,,,,,,
EXPAND ENERGY CORP COMMON STOCK USD.01,EXE,COMMON STOCK,165167735,US1651677353,BMZ5LZ5,37421,3991698.07,0.79,0,,ENERGY,UNITED STATES,AVMV,2026-03-06,,,,,,,
SYNCHRONY FINANCIAL COMMON STOCK USD.001,SYF,COMMON STOCK,87165B103,US87165B1035,BP96PS6,56799,3917427.03,0.78,0,,FINANCIALS,UNITED STATES,AVMV,2026-03-06,,,,,,,
HUNTINGTON BANCSHARES INC COMMON STOCK USD.01,HBAN,COMMON STOCK,446150104,US4461501045,2445966,234493,3911343.24,0.78,0,,FINANCIALS,UNITED STATES,AVMV,2026-03-06,,,,,,,
FLEX LTD COMMON STOCK,FLEX,COMMON STOCK,Y2573F102,SG9999000020,2353058,61169,3884843.19,0.77,0,,INFORMATION TECHNOLOGY,UNITED STATES,AVMV,2026-03-06,,,,,,,
TRACTOR SUPPLY COMPANY COMMON STOCK USD.008,TSCO,COMMON STOCK,892356106,US8923561067,2900335,76749,3876591.99,0.77,0,,CONSUMER DISCRETIONARY,UNITED STATES,AVMV,2026-03-06,,,,,,,
JABIL INC COMMON STOCK USD.001,JBL,COMMON STOCK,466313103,US4663131039,2471789,14829,3740022.09,0.74,0,,INFORMATION TECHNOLOGY,UNITED STATES,AVMV,2026-03-06,,,,,,,
COTERRA ENERGY INC COMMON STOCK USD.1,CTRA,COMMON STOCK,127097103,US1270971039,2162340,119832,3732766.8,0.74,0,,ENERGY,UNITED STATES,AVMV,2026-03-06,,,,,,,
CENTENE CORP COMMON STOCK USD.001,CNC,COMMON STOCK,15135B101,US15135B1017,2807061,86176,3728835.52,0.74,0,,HEALTH CARE,UNITED STATES,AVMV,2026-03-06,,,,,,,
