Date,ETF Ticker,Ticker,CUSIP,Name,Share Quantity,Price,Market Value,Weight,NetAssets,SharesOutstanding,CreationUnits,Underlying_Ticker,Option_Strike,Option_Expiry,Option_Type,Underlying_Price,DTE,Moneyness
2026-03-06,BLOX,FBTC,315948109,Fidelity Wise Origin Bitcoin Fund,606605,62.05,37639840.25,16.81,223919775.0,14925000,597.0,,,,,,,
2026-03-06,BLOX,HODL,92189K105,VanEck Bitcoin ETF/US,1594763,20.15,32134474.45,14.35,223919775.0,14925000,597.0,,,,,,,
2026-03-06,BLOX,TSM,874039100,Taiwan Semiconductor Manufacturing Co Ltd,49412,353.86,17484930.32,7.81,223919775.0,14925000,597.0,,,,,,,
2026-03-06,BLOX,ETHA,46438R105,iShares Ethereum Trust ETF,1076653,15.8,17011117.4,7.6,223919775.0,14925000,597.0,,,,,,,
2026-03-06,BLOX,RIOT,767292105,Riot Platforms Inc,959398,15.6,14966608.8,6.68,223919775.0,14925000,597.0,,,,,,,
2026-03-06,BLOX,IREN,Q4982L109,IREN Ltd,350782,40.125,14075127.75,6.29,223919775.0,14925000,597.0,,,,,,,
2026-03-06,BLOX,GLXY,36317J209,Galaxy Digital Inc,609587,22.73,13855912.51,6.19,223919775.0,14925000,597.0,,,,,,,
2026-03-06,BLOX,CIFR,17253J106,Cipher Digital Inc,873318,15.15,13230767.7,5.91,223919775.0,14925000,597.0,,,,,,,
2026-03-06,BLOX,NVDA,67066G104,NVIDIA Corp,71986,183.34,13197913.24,5.89,223919775.0,14925000,597.0,,,,,,,
2026-03-06,BLOX,HUT,44812J104,HUT 8 CORP,245048,51.36,12585665.28,5.62,223919775.0,14925000,597.0,,,,,,,
2026-03-06,BLOX,COIN,19260Q107,Coinbase Global Inc,40896,205.71,8412716.16,3.76,223919775.0,14925000,597.0,,,,,,,
2026-03-06,BLOX,HOOD,770700102,Robinhood Markets Inc,63601,80.56,5123696.56,2.29,223919775.0,14925000,597.0,,,,,,,
2026-03-06,BLOX,BLSH,G16910120,Bullish,132403,35.02,4636753.06,2.07,223919775.0,14925000,597.0,,,,,,,
2026-03-06,BLOX,CRCL,172573107,Circle Internet Group Inc,37277,105.74,3941669.98,1.76,223919775.0,14925000,597.0,,,,,,,
2026-03-06,BLOX,BITF,09173B107,Bitfarms Ltd/Canada,1735017,2.22,3851737.74,1.72,223919775.0,14925000,597.0,,,,,,,
2026-03-06,BLOX,FGXXX,31846V336,First American Government Obligations Fund 12/01/2031,3717006,100.0,3717006.45,1.66,223919775.0,14925000,597.0,,,,,,,
2026-03-06,BLOX,BULL,G9572D103,Webull Corp,615082,5.73,3524419.86,1.57,223919775.0,14925000,597.0,,,,,,,
2026-03-06,BLOX,MARA,565788106,MARA Holdings Inc,343725,8.77,3014468.25,1.35,223919775.0,14925000,597.0,,,,,,,
2026-03-06,BLOX,HOOD  260618C00030000,HOOD  260618C00030000,HOOD US 06/18/26 C30,520,50.725,2637700.0,1.18,223919775.0,14925000,597.0,HOOD,30.0,2026-06-18,Call,80.54000091552734,104.0,1.6846666971842448
2026-03-06,BLOX,BMNR,09175A206,BitMine Immersion Technologies Inc,111971,20.35,2278609.85,1.02,223919775.0,14925000,597.0,,,,,,,
2026-03-06,BLOX,CRWV,21873S108,CoreWeave Inc,25189,74.82,1884640.98,0.84,223919775.0,14925000,597.0,,,,,,,
2026-03-06,BLOX,MSTR,594972408,Strategy Inc,10996,139.81,1537350.76,0.69,223919775.0,14925000,597.0,,,,,,,
