Ticker,Name,CUSIP,Weight,Market Value,Share Quantity,ETF Ticker,Date,Underlying_Ticker,Option_Strike,Option_Expiry,Option_Type,Underlying_Price,DTE,Moneyness
CASH,Cash & Other,,10.53,1685355.83,1685356,ULTI,2026-03-06,,,,,,,
RCAT,RED CAT HOLDINGS INC,75644T100,5.92,947139.0,64300,ULTI,2026-03-06,,,,,,,
AAOI,APPLIED OPTOELECTRONICS INC,03823U102,5.79,927303.0,9300,ULTI,2026-03-06,,,,,,,
LUNR,INTUITIVE MACHINES INC COMMON STOCK USD.0001,46125A100,5.38,860244.0,46200,ULTI,2026-03-06,,,,,,,
SEDG,SOLAREDGE TECHNOLOGIES INC,83417M104,5.19,830886.0,21900,ULTI,2026-03-06,,,,,,,
NBIS,Nebius Group NV,N97284108,5.13,821352.0,8400,ULTI,2026-03-06,,,,,,,
PL,PLANET LABS PBC,72703X106,5.1,816400.0,31400,ULTI,2026-03-06,,,,,,,
RKLB,ROCKET LAB CORP,773121108,5.08,812583.0,11300,ULTI,2026-03-06,,,,,,,
APLD,APPLIED DIGITAL CORP COMMON STOCK USD 0.001,038169207,5.05,807930.0,28200,ULTI,2026-03-06,,,,,,,
BE,BLOOM ENERGY CORP. CLASS A,093712107,5.05,807422.0,4900,ULTI,2026-03-06,,,,,,,
CIFR,CIPHER MINING INC COMMON STOCK USD1.0,17253J106,4.93,789168.0,49200,ULTI,2026-03-06,,,,,,,
OKLO,OKLO INC,02156V109,4.92,787800.0,12000,ULTI,2026-03-06,,,,,,,
RIOT,RIOT PLATFORMS INC.,767292105,4.87,778563.0,47100,ULTI,2026-03-06,,,,,,,
USAR,USA RARE EARTH INC A,91733P107,4.73,756400.0,40000,ULTI,2026-03-06,,,,,,,
LITE,LUMENTUM HOLDINGS INC,55024U109,4.68,748880.0,1100,ULTI,2026-03-06,,,,,,,
KLAR,KLARNA GROUP PLC,G5279N105,4.63,740922.0,54600,ULTI,2026-03-06,,,,,,,
WULF,TERAWULF INC,88080T104,4.52,723927.0,47100,ULTI,2026-03-06,,,,,,,
SNDK,SANDISK CORP/DE SNDKV,80004C200,4.49,718872.0,1200,ULTI,2026-03-06,,,,,,,
CORZ,CORE SCIENTIFIC INC,21874A106,4.47,715968.0,45200,ULTI,2026-03-06,,,,,,,
RUN,SUNRUN INC,86771W105,4.46,713162.0,58600,ULTI,2026-03-06,,,,,,,
ASTS,AST SPACEMOBILE INC CLASS A,00217D100,2.0,319285.16,3044,ULTI,2026-03-06,,,,,,,
OTHER,ASTS US 03/06/26 C91,,0.87,139392.0,96,ULTI,2026-03-06,,,,,,,
