date,ETF Ticker,Name,Ticker,CUSIP,Share Quantity,Market Value,Weight,Date,Underlying_Ticker,Option_Strike,Option_Expiry,Option_Type,Underlying_Price,DTE,Moneyness
04/24/2026,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,512554,156498112.82,9.412957959128683,2026-04-25,,,,,,,
04/24/2026,ARKW,TESLA INC,TSLA,88160R101,376625,140752295.0,8.465887617505894,2026-04-25,,,,,,,
04/24/2026,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),OTHER,MM0051EWE,3937558,101568914.85,6.109108334980438,2026-04-25,,,,,,,
04/24/2026,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,1006503,84083260.62,5.057391319426649,2026-04-25,,,,,,,
04/24/2026,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,621404,77197018.92,4.643201637196723,2026-04-25,,,,,,,
04/24/2026,ARKW,CIRCLE INTERNET GROUP INC,CRCL,172573107,721085,72115710.85,4.337574058829026,2026-04-25,,,,,,,
04/24/2026,ARKW,ROKU INC,ROKU,77543R102,624422,71783553.12,4.3175956278310395,2026-04-25,,,,,,,
04/24/2026,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,583683,68536057.86,4.122267161538229,2026-04-25,,,,,,,
04/24/2026,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,331498,65613399.14,3.9464767755424366,2026-04-25,,,,,,,
04/24/2026,ARKW,ALPHABET INC-CL C,GOOG,02079K107,171742,58005860.5,3.4889029422200486,2026-04-25,,,,,,,
04/24/2026,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,918541,50933098.45,3.063494541876306,2026-04-25,,,,,,,
04/24/2026,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,338494,47920595.58,2.882300261919208,2026-04-25,,,,,,,
04/24/2026,ARKW,BLOCK INC,XYZ,852234103,669661,46829393.73,2.816667284282044,2026-04-25,,,,,,,
04/24/2026,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,118237,45244570.42,2.7213442486181236,2026-04-25,,,,,,,
04/24/2026,ARKW,OPENAI GROUP PBC SERIES C,OTHER,PPOPENAIC,62528,42999686.48,2.5863202680117405,2026-04-25,,,,,,,
04/24/2026,ARKW,AMAZON.COM INC,AMZN,023135106,167939,42837880.12,2.576588032671935,2026-04-25,,,,,,,
04/24/2026,ARKW,BROADCOM INC,AVGO,11135F101,93375,39211897.5,2.3584945275965863,2026-04-25,,,,,,,
04/24/2026,ARKW,BULLISH,BLSH,G16910120,906751,38382769.83,2.3086246361338247,2026-04-25,,,,,,,
04/24/2026,ARKW,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,1565383,34438426.0,2.07138252516446,2026-04-25,,,,,,,
04/24/2026,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,147144,30164520.0,1.8143180994385129,2026-04-25,,,,,,,
04/24/2026,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,67222,29940006.58,1.8008141961285034,2026-04-25,,,,,,,
