Date,ETF Ticker,Ticker,CUSIP,Name,Share Quantity,Price,Market Value,Weight,NetAssets,SharesOutstanding,CreationUnits,Underlying_Ticker,Option_Strike,Option_Expiry,Option_Type,Underlying_Price,DTE,Moneyness
2026-04-24,EGGS,SNDK,80004C200,Sandisk Corp/DE,5267,932.43,4911108.81,11.101269386635403,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,CRDO,G25457105,Credo Technology Group Holding Ltd,16113,185.54,2989606.02,6.757826607374009,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,BE,093712107,Bloom Energy Corp,10767,237.57,2557916.19,5.782017420547859,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,AVGO,11135F101,Broadcom Inc,5755,419.94,2416754.7,5.462930267700021,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,MU,595112103,Micron Technology Inc,4821,481.72,2322372.12,5.2495840588251115,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,VRT,92537N108,Vertiv Holdings Co,6929,321.75,2229405.75,5.0394391084289465,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,TSM,874039100,Taiwan Semiconductor Manufacturing Co Ltd,5146,382.66,1969168.36,4.451187965431995,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,FGXXX,31846V336,First American Government Obligations Fund 12/01/2031,1894711,100.0,1894711.45,4.282882548552732,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,APP,03831W108,AppLovin Corp,3901,454.17,1771717.17,4.004861293451429,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,NVDA,67066G104,NVIDIA Corp,8836,199.64,1764019.04,3.9874601284173083,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,AMGN,031162100,Amgen Inc,4996,348.62,1741705.52,3.9370217435092623,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,ALNY,02043Q107,Alnylam Pharmaceuticals Inc,5102,313.79,1600956.58,3.618867135400837,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,VST,92840M102,Vistra Corp,10211,156.85,1601595.35,3.6203110369962697,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,AMZN,023135106,Amazon.com Inc,6216,255.08,1585577.28,3.584103142403931,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,GLW,219350105,Corning Inc,9185,169.5,1556857.5,3.51918378776538,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,GOOGL,02079K305,Alphabet Inc,4039,338.89,1368776.71,3.094038347699025,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,MSFT,594918104,Microsoft Corp,3275,415.75,1361581.25,3.077773438304611,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,WMT,931142103,Walmart Inc,10030,132.03,1324260.9,2.9934130066827507,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,COST,22160K105,Costco Wholesale Corp,1288,1014.38,1306521.44,2.9533140123716386,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,CDE,192108504,COEUR MINING INC.,68421,18.86,1290420.06,2.9169178004789966,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,CAH,14149Y108,Cardinal Health Inc,5625,204.72,1151550.0,2.6030102888679427,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,CRWV,21873S108,CoreWeave Inc,9077,117.42,1065821.34,2.409225751478458,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,MCK,58155Q103,McKesson Corp,1112,836.1,929743.2,2.1016292089835487,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,LLY,532457108,Eli Lilly & Co,1001,917.65,918567.65,2.076367542852023,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,BKNG,09857L108,Booking Holdings Inc,2161,176.75,381956.75,0.8633905172615697,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,Cash&Other,Cash&Other,Cash & Other,240798,1.0,240798.22,0.5443100553176905,44235342.5,1175000,47.0,,,,,,,
2026-04-24,EGGS,VRT   260424P00255000,VRT   260424P00255000,VRT US 04/24/26 P255,69,0.55,3795.0,0.008578371799968601,44235342.5,1175000,47.0,VRT,255.0,2026-04-24,Put,323.3599853515625,-1.0,-0.26807837392769607
2026-04-24,EGGS,VRT   260424C00355000,VRT   260424C00355000,VRT US 04/24/26 C355,-69,0.165,-1138.5,-0.0025735115399905806,44235342.5,1175000,47.0,VRT,355.0,2026-04-24,Call,323.3599853515625,-1.0,-0.0891268018265845
2026-04-24,EGGS,VRT   260424P00287500,VRT   260424P00287500,VRT US 04/24/26 P287.5,-69,0.45,-3105.0,-0.007018667836337946,44235342.5,1175000,47.0,VRT,287.5,2026-04-24,Put,323.3599853515625,-1.0,-0.12473038383152174
2026-04-24,EGGS,BE    260424C00250000,BE    260424C00250000,BE US 04/24/26 C250,-107,1.295,-13856.5,-0.03132179416238865,44235342.5,1175000,47.0,BE,250.0,2026-04-24,Call,231.0500030517578,-1.0,-0.07579998779296875
