Name,Ticker,Security Type,CUSIP,ISIN,SEDOL,Share Quantity,Market Value,Weight,Coupon,Maturity Date,Sector,Country,ETF Ticker,Date,Underlying_Ticker,Option_Strike,Option_Expiry,Option_Type,Underlying_Price,DTE,Moneyness,Price,NetAssets,SharesOutstanding,CreationUnits,date,id,holding_date,price,net_assets,shares_outstanding,creation_units,money_market_flag,source_file,ingested_at,MoneyMarketFlag
VIASAT INC COMMON STOCK USD.0001,VSAT,COMMON STOCK,92552V100,US92552V1008,2946243,4512700.0,295491596.0,1.0724452326661598,0,,INFORMATION TECHNOLOGY,UNITED STATES,AVUV,2026-06-09,,,,,,,,,,,,,,,,,,,,,,
MATSON INC COMMON STOCK,MATX,COMMON STOCK,57686G105,US57686G1058,B8GNC91,1494502.0,287273174.44,1.0426176262591649,0,,INDUSTRIALS,UNITED STATES,AVUV,2026-06-09,,,,,,,,,,,,,,,,,,,,,,
LEAR CORP COMMON STOCK USD.01,LEA,COMMON STOCK,521865204,US5218652049,B570P91,1639935.0,237577383.45,0.8622537348583432,0,,CONSUMER DISCRETIONARY,UNITED STATES,AVUV,2026-06-09,,,,,,,,,,,,,,,,,,,,,,
SM ENERGY CO COMMON STOCK USD.01,SM,COMMON STOCK,78454L100,US78454L1008,2764188,7241436.0,234405283.32,0.850741043099901,0,,ENERGY,UNITED STATES,AVUV,2026-06-09,,,,,,,,,,,,,,,,,,,,,,
AVNET INC COMMON STOCK USD1.0,AVT,COMMON STOCK,053807103,US0538071038,2066505,2567726.0,223520548.3,0.8112364265928602,0,,INFORMATION TECHNOLOGY,UNITED STATES,AVUV,2026-06-09,,,,,,,,,,,,,,,,,,,,,,
STONEX GROUP INC COMMON STOCK USD.01,SNEX,COMMON STOCK,861896108,US8618961085,BMQ8XV3,1789088.0,210557766.72,0.764189832050917,0,,FINANCIALS,UNITED STATES,AVUV,2026-06-09,,,,,,,,,,,,,,,,,,,,,,
MACY S INC COMMON STOCK USD.01,M,COMMON STOCK,55616P104,US55616P1049,2345022,9234608.0,205562374.08,0.7460597562904421,0,,CONSUMER DISCRETIONARY,UNITED STATES,AVUV,2026-06-09,,,,,,,,,,,,,,,,,,,,,,
LANTHEUS HOLDINGS INC COMMON STOCK USD.01,LNTH,COMMON STOCK,516544103,US5165441032,BP8S8J5,2048699.0,204890386.99,0.7436208735579407,0,,HEALTH CARE,UNITED STATES,AVUV,2026-06-09,,,,,,,,,,,,,,,,,,,,,,
VISHAY INTERTECHNOLOGY INC COMMON STOCK USD.1,VSH,COMMON STOCK,928298108,US9282981086,2930149,3470010.0,198553972.2,0.7206237463106031,0,,INFORMATION TECHNOLOGY,UNITED STATES,AVUV,2026-06-09,,,,,,,,,,,,,,,,,,,,,,
GATX CORP COMMON STOCK USD.625,GATX,COMMON STOCK,361448103,US3614481030,2362128,1143620.0,197125779.4,0.7154403211965835,0,,INDUSTRIALS,UNITED STATES,AVUV,2026-06-09,,,,,,,,,,,,,,,,,,,,,,
DANA INC COMMON STOCK USD.01,DAN,COMMON STOCK,235825205,US2358252052,B2PFJR3,5185833.0,190164496.11,0.6901753215192353,0,,CONSUMER DISCRETIONARY,UNITED STATES,AVUV,2026-06-09,,,,,,,,,,,,,,,,,,,,,,
PLEXUS CORP COMMON STOCK USD.01,PLXS,COMMON STOCK,729132100,US7291321005,2692160,671446.0,189542491.34,0.6879178425949206,0,,INFORMATION TECHNOLOGY,UNITED STATES,AVUV,2026-06-09,,,,,,,,,,,,,,,,,,,,,,
CABOT CORP COMMON STOCK USD1.0,CBT,COMMON STOCK,127055101,US1270551013,2162500,2231002.0,184994685.84,0.6714122214754357,0,,MATERIALS,UNITED STATES,AVUV,2026-06-09,,,,,,,,,,,,,,,,,,,,,,
OSCAR HEALTH INC   CLASS A COMMON STOCK USD.00001,OSCR,COMMON STOCK,687793109,US6877931096,BKY83Q6,6733267.0,184424183.13,0.6693416620421222,0,,FINANCIALS,UNITED STATES,AVUV,2026-06-09,,,,,,,,,,,,,,,,,,,,,,
IRIDIUM COMMUNICATIONS INC COMMON STOCK USD.001,IRDM,COMMON STOCK,46269C102,US46269C1027,B2QH310,3829234.0,181792884.15,0.6597917320778862,0,,COMMUNICATION SERVICES,UNITED STATES,AVUV,2026-06-09,,,,,,,,,,,,,,,,,,,,,,
MAGNOLIA OIL + GAS CORP   A COMMON STOCK USD.0001,MGY,COMMON STOCK,559663109,US5596631094,BF2GC59,6399134.0,179367726.02,0.6509899613670194,0,,ENERGY,UNITED STATES,AVUV,2026-06-09,,,,,,,,,,,,,,,,,,,,,,
ARCHROCK INC COMMON STOCK USD.01,AROC,COMMON STOCK,03957W106,US03957W1062,BYRGSX7,5064186.0,176689449.54,0.6412695331666252,0,,ENERGY,UNITED STATES,AVUV,2026-06-09,,,,,,,,,,,,,,,,,,,,,,
RYDER SYSTEM INC COMMON STOCK USD.5,R,COMMON STOCK,783549108,US7835491082,2760669,644522.0,174626790.68,0.6337834026269816,0,,INDUSTRIALS,UNITED STATES,AVUV,2026-06-09,,,,,,,,,,,,,,,,,,,,,,
MURPHY OIL CORP COMMON STOCK USD1.0,MUR,COMMON STOCK,626717102,US6267171022,2611206,4342174.0,173730381.74,0.6305300123199953,0,,ENERGY,UNITED STATES,AVUV,2026-06-09,,,,,,,,,,,,,,,,,,,,,,
